today,well
lifestyle,la
thing,uh
thing,weather,
thing,can't
thing,beat
thing,weather
thing,generally
thing,always
thing,nice
thing,hot
thing,cold,
thing,uh
thing,creative
thing,like
thing,uh
thing,know
thing,movies,
thing,uh
thing,like
thing,beach
really,uh
really,weather,
really,can't
really,beat
really,weather
really,generally
really,always
really,nice
really,hot
really,cold,
really,uh
really,creative
really,like
really,uh
really,know
really,movies,
really,uh
really,like
really,beach
like,uh
like,weather,
like,can't
like,beat
like,weather
like,generally
like,always
like,nice
like,hot
like,cold,
like,uh
like,creative
like,like
like,uh
like,know
like,movies,
like,uh
like,like
like,beach
la,uh
la,weather,
la,can't
la,beat
la,weather
la,generally
la,always
la,nice
la,hot
la,cold,
la,uh
la,creative
la,like
la,uh
la,know
la,movies,
la,uh
la,like
la,beach
uh,thing
uh,really
uh,like
uh,la
weather,,thing
weather,,really
weather,,like
weather,,la
can't,thing
can't,really
can't,like
can't,la
beat,thing
beat,really
beat,like
beat,la
weather,thing
weather,really
weather,like
weather,la
generally,thing
generally,really
generally,like
generally,la
always,thing
always,really
always,like
always,la
nice,thing
nice,really
nice,like
nice,la
hot,thing
hot,really
hot,like
hot,la
cold,,thing
cold,,really
cold,,like
cold,,la
uh,thing
uh,really
uh,like
uh,la
creative,thing
creative,really
creative,like
creative,la
like,thing
like,really
like,like
like,la
uh,thing
uh,really
uh,like
uh,la
know,thing
know,really
know,like
know,la
movies,,thing
movies,,really
movies,,like
movies,,la
uh,thing
uh,really
uh,like
uh,la
like,thing
like,really
like,like
like,la
beach,thing
beach,really
beach,like
beach,la
thing,traffic,
thing,lot
thing,traffic,
thing,uh,
thing,sometimes
thing,think
thing,people
thing,little
thing,bit
thing,colder
thing,distant
thing,unfriendly
thing,place
really,traffic,
really,lot
really,traffic,
really,uh,
really,sometimes
really,think
really,people
really,little
really,bit
really,colder
really,distant
really,unfriendly
really,place
like,traffic,
like,lot
like,traffic,
like,uh,
like,sometimes
like,think
like,people
like,little
like,bit
like,colder
like,distant
like,unfriendly
like,place
la,traffic,
la,lot
la,traffic,
la,uh,
la,sometimes
la,think
la,people
la,little
la,bit
la,colder
la,distant
la,unfriendly
la,place
traffic,,what'd
traffic,,study
traffic,,school
lot,what'd
lot,study
lot,school
traffic,,what'd
traffic,,study
traffic,,school
uh,,what'd
uh,,study
uh,,school
sometimes,what'd
sometimes,study
sometimes,school
think,what'd
think,study
think,school
people,what'd
people,study
people,school
little,what'd
little,study
little,school
bit,what'd
bit,study
bit,school
colder,what'd
colder,study
colder,school
distant,what'd
distant,study
distant,school
unfriendly,what'd
unfriendly,study
unfriendly,school
place,what'd
place,study
place,school
what'd,history
what'd,major
study,history
study,major
school,history
school,major
history,still
history,working
major,still
major,working
uh,what's
uh,dream
uh,job
uh,what's
uh,dream
uh,job
demonstration,what's
demonstration,dream
demonstration,job
really,,what's
really,,dream
really,,job
uh,what's
uh,dream
uh,job
high-end,what's
high-end,dream
high-end,job
supermarket,what's
supermarket,dream
supermarket,job
what's,uh
what's,screenwriter
dream,uh
dream,screenwriter
job,uh
job,screenwriter
uh,really
screenwriter,really
really,that's
really,one
really,reason
really,came
really,los
really,angeles
that's,hard
one,hard
reason,hard
came,hard
los,hard
angeles,hard
hard,um
hard,hard
hard,'cause
hard,always
hard,maintain
hard,uh
hard,focus
hard,motivation,
hard,let
hard,thing
hard,distract
um,suck
hard,suck
'cause,suck
always,suck
maintain,suck
uh,suck
focus,suck
motivation,,suck
let,suck
thing,suck
distract,suck
suck,*laughter*
*laughter*,decide
decide,uh
decide,uh
decide,i've
decide,always
decide,interested
decide,film
decide,ever
decide,since
decide,child,
decide,always
decide,know
decide,writing
decide,active
decide,imagination
uh,travel
uh,lot
uh,travel
uh,lot
i've,travel
i've,lot
always,travel
always,lot
interested,travel
interested,lot
film,travel
film,lot
ever,travel
ever,lot
since,travel
since,lot
child,,travel
child,,lot
always,travel
always,lot
know,travel
know,lot
writing,travel
writing,lot
active,travel
active,lot
imagination,travel
imagination,lot
travel,uh
travel,i've
travel,last,
travel,probably,
travel,almost
travel,ten
travel,year
travel,i've
travel,traveled
travel,past
travel,well
travel,i've
travel,always
travel,traveled
travel,even
travel,kid
travel,parent
travel,would
travel,travel
travel,around,
travel,yes
lot,uh
lot,i've
lot,last,
lot,probably,
lot,almost
lot,ten
lot,year
lot,i've
lot,traveled
lot,past
lot,well
lot,i've
lot,always
lot,traveled
lot,even
lot,kid
lot,parent
lot,would
lot,travel
lot,around,
lot,yes
uh,enjoy
uh,traveling
i've,enjoy
i've,traveling
last,,enjoy
last,,traveling
probably,,enjoy
probably,,traveling
almost,enjoy
almost,traveling
ten,enjoy
ten,traveling
year,enjoy
year,traveling
i've,enjoy
i've,traveling
traveled,enjoy
traveled,traveling
past,enjoy
past,traveling
well,enjoy
well,traveling
i've,enjoy
i've,traveling
always,enjoy
always,traveling
traveled,enjoy
traveled,traveling
even,enjoy
even,traveling
kid,enjoy
kid,traveling
parent,enjoy
parent,traveling
would,enjoy
would,traveling
travel,enjoy
travel,traveling
around,,enjoy
around,,traveling
yes,enjoy
yes,traveling
enjoy,seeing
enjoy,new
enjoy,place
enjoy,seeing
enjoy,uh
enjoy,people
enjoy,different
enjoy,seeing
enjoy,live,
enjoy,taking
enjoy,sight
traveling,seeing
traveling,new
traveling,place
traveling,seeing
traveling,uh
traveling,people
traveling,different
traveling,seeing
traveling,live,
traveling,taking
traveling,sight
seeing,i'd
seeing,love
seeing,hear
seeing,one
seeing,trip
new,i'd
new,love
new,hear
new,one
new,trip
place,i'd
place,love
place,hear
place,one
place,trip
seeing,i'd
seeing,love
seeing,hear
seeing,one
seeing,trip
uh,i'd
uh,love
uh,hear
uh,one
uh,trip
people,i'd
people,love
people,hear
people,one
people,trip
different,i'd
different,love
different,hear
different,one
different,trip
seeing,i'd
seeing,love
seeing,hear
seeing,one
seeing,trip
live,,i'd
live,,love
live,,hear
live,,one
live,,trip
taking,i'd
taking,love
taking,hear
taking,one
taking,trip
sight,i'd
sight,love
sight,hear
sight,one
sight,trip
i'd,uh
i'd,went
i'd,kenya
i'd,probably
i'd,one
i'd,best
i'd,trip
i'd,ever
i'd,went
i'd,um
i'd,safari
i'd,and,
i'd,going
i'd,jeep
i'd,seeing
i'd,*laughter*
i'd,wild
i'd,animal
i'd,natural
i'd,habitat
i'd,pretty
i'd,incredible
love,uh
love,went
love,kenya
love,probably
love,one
love,best
love,trip
love,ever
love,went
love,um
love,safari
love,and,
love,going
love,jeep
love,seeing
love,*laughter*
love,wild
love,animal
love,natural
love,habitat
love,pretty
love,incredible
hear,uh
hear,went
hear,kenya
hear,probably
hear,one
hear,best
hear,trip
hear,ever
hear,went
hear,um
hear,safari
hear,and,
hear,going
hear,jeep
hear,seeing
hear,*laughter*
hear,wild
hear,animal
hear,natural
hear,habitat
hear,pretty
hear,incredible
one,uh
one,went
one,kenya
one,probably
one,one
one,best
one,trip
one,ever
one,went
one,um
one,safari
one,and,
one,going
one,jeep
one,seeing
one,*laughter*
one,wild
one,animal
one,natural
one,habitat
one,pretty
one,incredible
trip,uh
trip,went
trip,kenya
trip,probably
trip,one
trip,best
trip,trip
trip,ever
trip,went
trip,um
trip,safari
trip,and,
trip,going
trip,jeep
trip,seeing
trip,*laughter*
trip,wild
trip,animal
trip,natural
trip,habitat
trip,pretty
trip,incredible
uh,happy
went,happy
kenya,happy
probably,happy
one,happy
best,happy
trip,happy
ever,happy
went,happy
um,happy
safari,happy
and,,happy
going,happy
jeep,happy
seeing,happy
*laughter*,happy
wild,happy
animal,happy
natural,happy
habitat,happy
pretty,happy
incredible,happy
happy,oh
happy,yeah
happy,that's
happy,one
happy,great
happy,experience
happy,life,
happy,also
happy,got
happy,uh,
happy,place
happy,egypt
happy,uh
happy,end
happy,trip,
happy,um
happy,called
happy,uh,
happy,sharm
happy,el
happy,sheikh
happy,right
happy,water
happy,best
happy,scuba
happy,diving
happy,world
happy,hard
happy,believe
happy,that,
happy,egypt
happy,would
happy,amazing
happy,went
happy,go
happy,scuba
happy,diving
happy,went
happy,uh
happy,snorkeling
oh,relax
yeah,relax
that's,relax
one,relax
great,relax
experience,relax
life,,relax
also,relax
got,relax
uh,,relax
place,relax
egypt,relax
uh,relax
end,relax
trip,,relax
um,relax
called,relax
uh,,relax
sharm,relax
el,relax
sheikh,relax
right,relax
water,relax
best,relax
scuba,relax
diving,relax
world,relax
hard,relax
believe,relax
that,,relax
egypt,relax
would,relax
amazing,relax
went,relax
go,relax
scuba,relax
diving,relax
went,relax
uh,relax
snorkeling,relax
relax,relax
relax,uh
relax,like
relax,listen
relax,music,
relax,like
relax,uh
relax,helping
relax,watching
relax,movie
relax,help
relax,relax
relax,'cause
relax,take
relax,know
relax,whatever
relax,might
relax,mind,
relax,meditate
relax,every
relax,day,
relax,um
relax,like
relax,take
relax,walk
relax,nature
relax,that's
relax,always
relax,calming,
relax,especially
relax,uh
relax,ocean
relax,annoyed
uh,annoyed
like,annoyed
listen,annoyed
music,,annoyed
like,annoyed
uh,annoyed
helping,annoyed
watching,annoyed
movie,annoyed
help,annoyed
relax,annoyed
'cause,annoyed
take,annoyed
know,annoyed
whatever,annoyed
might,annoyed
mind,,annoyed
meditate,annoyed
every,annoyed
day,,annoyed
um,annoyed
like,annoyed
take,annoyed
walk,annoyed
nature,annoyed
that's,annoyed
always,annoyed
calming,,annoyed
especially,annoyed
uh,annoyed
ocean,annoyed
annoyed,uh,
annoyed,depends
annoyed,*laughter*
annoyed,sometimes
annoyed,get
annoyed,angry
annoyed,lose
annoyed,temper
annoyed,uh
annoyed,lot
annoyed,times,
annoyed,uh,
annoyed,i'll
annoyed,like
annoyed,form
annoyed,self-hypnosis
annoyed,calm
annoyed,something
annoyed,i've
annoyed,recently
annoyed,learned
annoyed,do,
annoyed,helpful,
annoyed,also
annoyed,since
annoyed,meditate
annoyed,get
annoyed,annoyed
annoyed,thing
annoyed,easily
annoyed,past
uh,,thing
uh,,make
uh,,really
uh,,mad
depends,thing
depends,make
depends,really
depends,mad
*laughter*,thing
*laughter*,make
*laughter*,really
*laughter*,mad
sometimes,thing
sometimes,make
sometimes,really
sometimes,mad
get,thing
get,make
get,really
get,mad
angry,thing
angry,make
angry,really
angry,mad
lose,thing
lose,make
lose,really
lose,mad
temper,thing
temper,make
temper,really
temper,mad
uh,thing
uh,make
uh,really
uh,mad
lot,thing
lot,make
lot,really
lot,mad
times,,thing
times,,make
times,,really
times,,mad
uh,,thing
uh,,make
uh,,really
uh,,mad
i'll,thing
i'll,make
i'll,really
i'll,mad
like,thing
like,make
like,really
like,mad
form,thing
form,make
form,really
form,mad
self-hypnosis,thing
self-hypnosis,make
self-hypnosis,really
self-hypnosis,mad
calm,thing
calm,make
calm,really
calm,mad
something,thing
something,make
something,really
something,mad
i've,thing
i've,make
i've,really
i've,mad
recently,thing
recently,make
recently,really
recently,mad
learned,thing
learned,make
learned,really
learned,mad
do,,thing
do,,make
do,,really
do,,mad
helpful,,thing
helpful,,make
helpful,,really
helpful,,mad
also,thing
also,make
also,really
also,mad
since,thing
since,make
since,really
since,mad
meditate,thing
meditate,make
meditate,really
meditate,mad
get,thing
get,make
get,really
get,mad
annoyed,thing
annoyed,make
annoyed,really
annoyed,mad
thing,thing
thing,make
thing,really
thing,mad
easily,thing
easily,make
easily,really
easily,mad
past,thing
past,make
past,really
past,mad
thing,thing
thing,make
thing,really
thing,mad,
thing,guess
thing,uh
thing,think
thing,injustice,
thing,world
thing,done
thing,people
thing,when,
thing,uh,
thing,really
thing,need
thing,way
thing,could
thing,get
thing,along,
thing,um
make,thing
make,make
make,really
make,mad,
make,guess
make,uh
make,think
make,injustice,
make,world
make,done
make,people
make,when,
make,uh,
make,really
make,need
make,way
make,could
make,get
make,along,
make,um
really,thing
really,make
really,really
really,mad,
really,guess
really,uh
really,think
really,injustice,
really,world
really,done
really,people
really,when,
really,uh,
really,really
really,need
really,way
really,could
really,get
really,along,
really,um
mad,thing
mad,make
mad,really
mad,mad,
mad,guess
mad,uh
mad,think
mad,injustice,
mad,world
mad,done
mad,people
mad,when,
mad,uh,
mad,really
mad,need
mad,way
mad,could
mad,get
mad,along,
mad,um
thing,yeah
make,yeah
really,yeah
mad,,yeah
guess,yeah
uh,yeah
think,yeah
injustice,,yeah
world,yeah
done,yeah
people,yeah
when,,yeah
uh,,yeah
really,yeah
need,yeah
way,yeah
could,yeah
get,yeah
along,,yeah
um,yeah
yeah,make
yeah,world
yeah,better
make,last
make,time
make,argued
make,someone
world,last
world,time
world,argued
world,someone
better,last
better,time
better,argued
better,someone
last,*laughter*
last,uh
last,last
last,night
last,went
last,movie
last,screening,
last,independent
last,film
last,think
last,done
last,well
last,much
last,fun
last,argument,
last,uh
last,movie,
last,like
last,know
last,happened
last,yesterday
last,that's
last,mind
time,*laughter*
time,uh
time,last
time,night
time,went
time,movie
time,screening,
time,independent
time,film
time,think
time,done
time,well
time,much
time,fun
time,argument,
time,uh
time,movie,
time,like
time,know
time,happened
time,yesterday
time,that's
time,mind
argued,*laughter*
argued,uh
argued,last
argued,night
argued,went
argued,movie
argued,screening,
argued,independent
argued,film
argued,think
argued,done
argued,well
argued,much
argued,fun
argued,argument,
argued,uh
argued,movie,
argued,like
argued,know
argued,happened
argued,yesterday
argued,that's
argued,mind
someone,*laughter*
someone,uh
someone,last
someone,night
someone,went
someone,movie
someone,screening,
someone,independent
someone,film
someone,think
someone,done
someone,well
someone,much
someone,fun
someone,argument,
someone,uh
someone,movie,
someone,like
someone,know
someone,happened
someone,yesterday
someone,that's
someone,mind
*laughter*,*laughter*
*laughter*,okay
uh,*laughter*
uh,okay
last,*laughter*
last,okay
night,*laughter*
night,okay
went,*laughter*
went,okay
movie,*laughter*
movie,okay
screening,,*laughter*
screening,,okay
independent,*laughter*
independent,okay
film,*laughter*
film,okay
think,*laughter*
think,okay
done,*laughter*
done,okay
well,*laughter*
well,okay
much,*laughter*
much,okay
fun,*laughter*
fun,okay
argument,,*laughter*
argument,,okay
uh,*laughter*
uh,okay
movie,,*laughter*
movie,,okay
like,*laughter*
like,okay
know,*laughter*
know,okay
happened,*laughter*
happened,okay
yesterday,*laughter*
yesterday,okay
that's,*laughter*
that's,okay
mind,*laughter*
mind,okay
*laughter*,*laughter*
okay,*laughter*
*laughter*,anything
*laughter*,regret
anything,anything
anything,regret
anything,yeah
anything,there's
anything,opportunity
anything,life,
anything,wished
anything,had,
anything,uh
anything,taken
anything,pursued
regret,anything
regret,regret
regret,yeah
regret,there's
regret,opportunity
regret,life,
regret,wished
regret,had,
regret,uh
regret,taken
regret,pursued
anything,like
regret,like
yeah,like
there's,like
opportunity,like
life,,like
wished,like
had,,like
uh,like
taken,like
pursued,like
like,uh
like,certain
like,jobs,
like,know
like,first
like,got
like,los
like,angeles
like,opportunity
like,uh,
like,become
like,grip,
like,uh
like,probably
like,pursued
uh,decide
certain,decide
jobs,,decide
know,decide
first,decide
got,decide
los,decide
angeles,decide
opportunity,decide
uh,,decide
become,decide
grip,,decide
uh,decide
probably,decide
pursued,decide
decide,decide
decide,really
decide,understand
decide,question
decide,advice
decide,would
decide,give
decide,ten
decide,twenty
decide,year
decide,ago
really,advice
really,would
really,give
really,ten
really,twenty
really,year
really,ago
understand,advice
understand,would
understand,give
understand,ten
understand,twenty
understand,year
understand,ago
question,advice
question,would
question,give
question,ten
question,twenty
question,year
question,ago
advice,take
advice,advantage
advice,every
advice,opportunity
advice,came
advice,way,
advice,always
advice,think
advice,saying
advice,yes,
advice,uh
advice,opportunity
advice,important
advice,matter,
advice,feel
advice,know
advice,confident
advice,able
advice,achieve
advice,wanna
would,take
would,advantage
would,every
would,opportunity
would,came
would,way,
would,always
would,think
would,saying
would,yes,
would,uh
would,opportunity
would,important
would,matter,
would,feel
would,know
would,confident
would,able
would,achieve
would,wanna
give,take
give,advantage
give,every
give,opportunity
give,came
give,way,
give,always
give,think
give,saying
give,yes,
give,uh
give,opportunity
give,important
give,matter,
give,feel
give,know
give,confident
give,able
give,achieve
give,wanna
ten,take
ten,advantage
ten,every
ten,opportunity
ten,came
ten,way,
ten,always
ten,think
ten,saying
ten,yes,
ten,uh
ten,opportunity
ten,important
ten,matter,
ten,feel
ten,know
ten,confident
ten,able
ten,achieve
ten,wanna
twenty,take
twenty,advantage
twenty,every
twenty,opportunity
twenty,came
twenty,way,
twenty,always
twenty,think
twenty,saying
twenty,yes,
twenty,uh
twenty,opportunity
twenty,important
twenty,matter,
twenty,feel
twenty,know
twenty,confident
twenty,able
twenty,achieve
twenty,wanna
year,take
year,advantage
year,every
year,opportunity
year,came
year,way,
year,always
year,think
year,saying
year,yes,
year,uh
year,opportunity
year,important
year,matter,
year,feel
year,know
year,confident
year,able
year,achieve
year,wanna
ago,take
ago,advantage
ago,every
ago,opportunity
ago,came
ago,way,
ago,always
ago,think
ago,saying
ago,yes,
ago,uh
ago,opportunity
ago,important
ago,matter,
ago,feel
ago,know
ago,confident
ago,able
ago,achieve
ago,wanna
take,ever
take,served
take,military
advantage,ever
advantage,served
advantage,military
every,ever
every,served
every,military
opportunity,ever
opportunity,served
opportunity,military
came,ever
came,served
came,military
way,,ever
way,,served
way,,military
always,ever
always,served
always,military
think,ever
think,served
think,military
saying,ever
saying,served
saying,military
yes,,ever
yes,,served
yes,,military
uh,ever
uh,served
uh,military
opportunity,ever
opportunity,served
opportunity,military
important,ever
important,served
important,military
matter,,ever
matter,,served
matter,,military
feel,ever
feel,served
feel,military
know,ever
know,served
know,military
confident,ever
confident,served
confident,military
able,ever
able,served
able,military
achieve,ever
achieve,served
achieve,military
wanna,ever
wanna,served
wanna,military
diagnosed,i've
diagnosed,depressed
diagnosed,life
depression,i've
depression,depressed
depression,life
i've,feeling
i've,lately
depressed,feeling
depressed,lately
life,feeling
life,lately
feeling,uh
feeling,part
feeling,i've
feeling,i've
feeling,feeling
feeling,good
feeling,sometimes
feeling,uh
feeling,feel
feeling,little
feeling,blue
feeling,uh,
feeling,think
feeling,know
feeling,sometimes
feeling,allow
feeling,allow
feeling,a,
feeling,regret
feeling,come
feeling,mind
feeling,bring
feeling,know
feeling,usually
feeling,get
feeling,pretty
feeling,quickly
lately,uh
lately,part
lately,i've
lately,i've
lately,feeling
lately,good
lately,sometimes
lately,uh
lately,feel
lately,little
lately,blue
lately,uh,
lately,think
lately,know
lately,sometimes
lately,allow
lately,allow
lately,a,
lately,regret
lately,come
lately,mind
lately,bring
lately,know
lately,usually
lately,get
lately,pretty
lately,quickly
uh,triggered
uh,something
part,triggered
part,something
i've,triggered
i've,something
i've,triggered
i've,something
feeling,triggered
feeling,something
good,triggered
good,something
sometimes,triggered
sometimes,something
uh,triggered
uh,something
feel,triggered
feel,something
little,triggered
little,something
blue,triggered
blue,something
uh,,triggered
uh,,something
think,triggered
think,something
know,triggered
know,something
sometimes,triggered
sometimes,something
allow,triggered
allow,something
allow,triggered
allow,something
a,,triggered
a,,something
regret,triggered
regret,something
come,triggered
come,something
mind,triggered
mind,something
bring,triggered
bring,something
know,triggered
know,something
usually,triggered
usually,something
get,triggered
get,something
pretty,triggered
pretty,something
quickly,triggered
quickly,something
triggered,uh
triggered,sometimes
triggered,financial
triggered,concern
triggered,sometimes
triggered,uh,
triggered,opportunity
triggered,um
triggered,explain
triggered,eh
triggered,there,
triggered,sometimes
triggered,sometimes
triggered,eh
triggered,financial
triggered,one
triggered,way
triggered,made
triggered,another
triggered,decision
triggered,might
triggered,money
triggered,life
triggered,would
triggered,different
something,uh
something,sometimes
something,financial
something,concern
something,sometimes
something,uh,
something,opportunity
something,um
something,explain
something,eh
something,there,
something,sometimes
something,sometimes
something,eh
something,financial
something,one
something,way
something,made
something,another
something,decision
something,might
something,money
something,life
something,would
something,different
uh,noticed
uh,change
uh,behavior
uh,thought
uh,lately
sometimes,noticed
sometimes,change
sometimes,behavior
sometimes,thought
sometimes,lately
financial,noticed
financial,change
financial,behavior
financial,thought
financial,lately
concern,noticed
concern,change
concern,behavior
concern,thought
concern,lately
sometimes,noticed
sometimes,change
sometimes,behavior
sometimes,thought
sometimes,lately
uh,,noticed
uh,,change
uh,,behavior
uh,,thought
uh,,lately
opportunity,noticed
opportunity,change
opportunity,behavior
opportunity,thought
opportunity,lately
um,noticed
um,change
um,behavior
um,thought
um,lately
explain,noticed
explain,change
explain,behavior
explain,thought
explain,lately
eh,noticed
eh,change
eh,behavior
eh,thought
eh,lately
there,,noticed
there,,change
there,,behavior
there,,thought
there,,lately
sometimes,noticed
sometimes,change
sometimes,behavior
sometimes,thought
sometimes,lately
sometimes,noticed
sometimes,change
sometimes,behavior
sometimes,thought
sometimes,lately
eh,noticed
eh,change
eh,behavior
eh,thought
eh,lately
financial,noticed
financial,change
financial,behavior
financial,thought
financial,lately
one,noticed
one,change
one,behavior
one,thought
one,lately
way,noticed
way,change
way,behavior
way,thought
way,lately
made,noticed
made,change
made,behavior
made,thought
made,lately
another,noticed
another,change
another,behavior
another,thought
another,lately
decision,noticed
decision,change
decision,behavior
decision,thought
decision,lately
might,noticed
might,change
might,behavior
might,thought
might,lately
money,noticed
money,change
money,behavior
money,thought
money,lately
life,noticed
life,change
life,behavior
life,thought
life,lately
would,noticed
would,change
would,behavior
would,thought
would,lately
different,noticed
different,change
different,behavior
different,thought
different,lately
noticed,um,
noticed,really
noticed,mean
noticed,feel,
noticed,pretty
noticed,much
change,um,
change,really
change,mean
change,feel,
change,pretty
change,much
behavior,um,
behavior,really
behavior,mean
behavior,feel,
behavior,pretty
behavior,much
thought,um,
thought,really
thought,mean
thought,feel,
thought,pretty
thought,much
lately,um,
lately,really
lately,mean
lately,feel,
lately,pretty
lately,much
um,,got
um,,seek
um,,help
really,got
really,seek
really,help
mean,got
mean,seek
mean,help
feel,,got
feel,,seek
feel,,help
pretty,got
pretty,seek
pretty,help
much,got
much,seek
much,help
got,got
got,seek
got,help
got,*laughter*
got,let's
got,come
got,back
seek,got
seek,seek
seek,help
seek,*laughter*
seek,let's
seek,come
seek,back
help,got
help,seek
help,help
help,*laughter*
help,let's
help,come
help,back
got,seeing
got,therapist
got,affected
seek,seeing
seek,therapist
seek,affected
help,seeing
help,therapist
help,affected
*laughter*,seeing
*laughter*,therapist
*laughter*,affected
let's,seeing
let's,therapist
let's,affected
come,seeing
come,therapist
come,affected
back,seeing
back,therapist
back,affected
seeing,um
seeing,i've
seeing,well
seeing,okay
seeing,well
seeing,generally
seeing,talking
seeing,someone
seeing,helped
therapist,um
therapist,i've
therapist,well
therapist,okay
therapist,well
therapist,generally
therapist,talking
therapist,someone
therapist,helped
affected,um
affected,i've
affected,well
affected,okay
affected,well
affected,generally
affected,talking
affected,someone
affected,helped
um,easy
um,get
um,good
um,night's
um,sleep
i've,easy
i've,get
i've,good
i've,night's
i've,sleep
well,easy
well,get
well,good
well,night's
well,sleep
okay,easy
okay,get
okay,good
okay,night's
okay,sleep
well,easy
well,get
well,good
well,night's
well,sleep
generally,easy
generally,get
generally,good
generally,night's
generally,sleep
talking,easy
talking,get
talking,good
talking,night's
talking,sleep
someone,easy
someone,get
someone,good
someone,night's
someone,sleep
helped,easy
helped,get
helped,good
helped,night's
helped,sleep
easy,uh
easy,pretty
easy,easy
easy,problem
easy,sleeping,
easy,uh
get,uh
get,pretty
get,easy
get,problem
get,sleeping,
get,uh
good,uh
good,pretty
good,easy
good,problem
good,sleeping,
good,uh
night's,uh
night's,pretty
night's,easy
night's,problem
night's,sleeping,
night's,uh
sleep,uh
sleep,pretty
sleep,easy
sleep,problem
sleep,sleeping,
sleep,uh
uh,like
uh,sleep
uh,well
pretty,like
pretty,sleep
pretty,well
easy,like
easy,sleep
easy,well
problem,like
problem,sleep
problem,well
sleeping,,like
sleeping,,sleep
sleeping,,well
uh,like
uh,sleep
uh,well
like,usually
like,i'm
like,grumpy
like,*laughter*
like,sleep
like,well
like,uh
like,know
like,feel
like,tired
like,irritable
sleep,usually
sleep,i'm
sleep,grumpy
sleep,*laughter*
sleep,sleep
sleep,well
sleep,uh
sleep,know
sleep,feel
sleep,tired
sleep,irritable
well,usually
well,i'm
well,grumpy
well,*laughter*
well,sleep
well,well
well,uh
well,know
well,feel
well,tired
well,irritable
usually,would
usually,best
usually,friend
usually,describe
i'm,would
i'm,best
i'm,friend
i'm,describe
grumpy,would
grumpy,best
grumpy,friend
grumpy,describe
*laughter*,would
*laughter*,best
*laughter*,friend
*laughter*,describe
sleep,would
sleep,best
sleep,friend
sleep,describe
well,would
well,best
well,friend
well,describe
uh,would
uh,best
uh,friend
uh,describe
know,would
know,best
know,friend
know,describe
feel,would
feel,best
feel,friend
feel,describe
tired,would
tired,best
tired,friend
tired,describe
irritable,would
irritable,best
irritable,friend
irritable,describe
would,uh,
would,would
would,best
would,friend
would,describe
would,me,
would,that's
would,good
would,question
would,um
would,friendly
would,well
would,i'm
would,friendly
would,i'm
would,definitely
would,friendly
would,outgoing
would,uh
would,little
would,bit
would,secretive,
would,um
would,would
would,probably
would,be,
would,they'd
would,like
would,see
would,accomplished
would,uh
would,uh
would,attaining
would,goal
would,happier
would,maybe
would,little
would,happier
best,uh,
best,would
best,best
best,friend
best,describe
best,me,
best,that's
best,good
best,question
best,um
best,friendly
best,well
best,i'm
best,friendly
best,i'm
best,definitely
best,friendly
best,outgoing
best,uh
best,little
best,bit
best,secretive,
best,um
best,would
best,probably
best,be,
best,they'd
best,like
best,see
best,accomplished
best,uh
best,uh
best,attaining
best,goal
best,happier
best,maybe
best,little
best,happier
friend,uh,
friend,would
friend,best
friend,friend
friend,describe
friend,me,
friend,that's
friend,good
friend,question
friend,um
friend,friendly
friend,well
friend,i'm
friend,friendly
friend,i'm
friend,definitely
