today,okay,
today,not,
today,bad
la,one
la,weather,
la,um
la,sun
la,important
la,me,
la,love
la,weather,
la,um
la,know
la,kind
la,laid
la,back
la,atmosphere,
la,variety,
la,people
number,uh
number,huh
one,uh
one,huh
weather,,uh
weather,,huh
um,uh
um,huh
sun,uh
sun,huh
important,uh
important,huh
me,,uh
me,,huh
love,uh
love,huh
weather,,uh
weather,,huh
um,uh
um,huh
know,uh
know,huh
kind,uh
kind,huh
laid,uh
laid,huh
back,uh
back,huh
atmosphere,,uh
atmosphere,,huh
variety,,uh
variety,,huh
people,uh
people,huh
uh,um,
uh,home
uh,base
uh,know,
uh,my,
uh,friends,
uh,family,
uh,kinda
uh,like
uh,family
huh,um,
huh,home
huh,base
huh,know,
huh,my,
huh,friends,
huh,family,
huh,kinda
huh,like
huh,family
um,,thing
um,,really
um,,like
um,,la
home,thing
home,really
home,like
home,la
base,thing
base,really
base,like
base,la
know,,thing
know,,really
know,,like
know,,la
my,,thing
my,,really
my,,like
my,,la
friends,,thing
friends,,really
friends,,like
friends,,la
family,,thing
family,,really
family,,like
family,,la
kinda,thing
kinda,really
kinda,like
kinda,la
like,thing
like,really
like,like
like,la
family,thing
family,really
family,like
family,la
thing,hmm,
thing,guess
thing,smog
thing,earthquakes,
thing,um,
thing,traffic,
thing,basic
thing,thing
thing,like
thing,really
really,hmm,
really,guess
really,smog
really,earthquakes,
really,um,
really,traffic,
really,basic
really,thing
really,like
really,really
like,hmm,
like,guess
like,smog
like,earthquakes,
like,um,
like,traffic,
like,basic
like,thing
like,like
like,really
la,hmm,
la,guess
la,smog
la,earthquakes,
la,um,
la,traffic,
la,basic
la,thing
la,like
la,really
hmm,,i'm
hmm,,sure
hmm,,tell
hmm,,shoe
hmm,,i'm
hmm,,much
hmm,,world
hmm,,explorer
hmm,,travel
hmm,,lot
guess,i'm
guess,sure
guess,tell
guess,shoe
guess,i'm
guess,much
guess,world
guess,explorer
guess,travel
guess,lot
smog,i'm
smog,sure
smog,tell
smog,shoe
smog,i'm
smog,much
smog,world
smog,explorer
smog,travel
smog,lot
earthquakes,,i'm
earthquakes,,sure
earthquakes,,tell
earthquakes,,shoe
earthquakes,,i'm
earthquakes,,much
earthquakes,,world
earthquakes,,explorer
earthquakes,,travel
earthquakes,,lot
um,,i'm
um,,sure
um,,tell
um,,shoe
um,,i'm
um,,much
um,,world
um,,explorer
um,,travel
um,,lot
traffic,,i'm
traffic,,sure
traffic,,tell
traffic,,shoe
traffic,,i'm
traffic,,much
traffic,,world
traffic,,explorer
traffic,,travel
traffic,,lot
basic,i'm
basic,sure
basic,tell
basic,shoe
basic,i'm
basic,much
basic,world
basic,explorer
basic,travel
basic,lot
thing,i'm
thing,sure
thing,tell
thing,shoe
thing,i'm
thing,much
thing,world
thing,explorer
thing,travel
thing,lot
like,i'm
like,sure
like,tell
like,shoe
like,i'm
like,much
like,world
like,explorer
like,travel
like,lot
really,i'm
really,sure
really,tell
really,shoe
really,i'm
really,much
really,world
really,explorer
really,travel
really,lot
i'm,um
i'm,currently
i'm,throughout
i'm,life
i'm,traveled,
i'm,quite
i'm,lot
sure,um
sure,currently
sure,throughout
sure,life
sure,traveled,
sure,quite
sure,lot
tell,um
tell,currently
tell,throughout
tell,life
tell,traveled,
tell,quite
tell,lot
shoe,um
shoe,currently
shoe,throughout
shoe,life
shoe,traveled,
shoe,quite
shoe,lot
i'm,um
i'm,currently
i'm,throughout
i'm,life
i'm,traveled,
i'm,quite
i'm,lot
much,um
much,currently
much,throughout
much,life
much,traveled,
much,quite
much,lot
world,um
world,currently
world,throughout
world,life
world,traveled,
world,quite
world,lot
explorer,um
explorer,currently
explorer,throughout
explorer,life
explorer,traveled,
explorer,quite
explorer,lot
travel,um
travel,currently
travel,throughout
travel,life
travel,traveled,
travel,quite
travel,lot
lot,um
lot,currently
lot,throughout
lot,life
lot,traveled,
lot,quite
lot,lot
um,enjoy
um,traveling
currently,enjoy
currently,traveling
throughout,enjoy
throughout,traveling
life,enjoy
life,traveling
traveled,,enjoy
traveled,,traveling
quite,enjoy
quite,traveling
lot,enjoy
lot,traveling
enjoy,uh
enjoy,seeing,
enjoy,seeing,
enjoy,culture
enjoy,and,
enjoy,seeing
enjoy,um
enjoy,history
enjoy,and,
enjoy,meeting
enjoy,people
enjoy,and,
enjoy,fun
enjoy,fun
enjoy,well
traveling,uh
traveling,seeing,
traveling,seeing,
traveling,culture
traveling,and,
traveling,seeing
traveling,um
traveling,history
traveling,and,
traveling,meeting
traveling,people
traveling,and,
traveling,fun
traveling,fun
traveling,well
uh,i'd
uh,love
uh,hear
uh,one
uh,trip
seeing,,i'd
seeing,,love
seeing,,hear
seeing,,one
seeing,,trip
seeing,,i'd
seeing,,love
seeing,,hear
seeing,,one
seeing,,trip
culture,i'd
culture,love
culture,hear
culture,one
culture,trip
and,,i'd
and,,love
and,,hear
and,,one
and,,trip
seeing,i'd
seeing,love
seeing,hear
seeing,one
seeing,trip
um,i'd
um,love
um,hear
um,one
um,trip
history,i'd
history,love
history,hear
history,one
history,trip
and,,i'd
and,,love
and,,hear
and,,one
and,,trip
meeting,i'd
meeting,love
meeting,hear
meeting,one
meeting,trip
people,i'd
people,love
people,hear
people,one
people,trip
and,,i'd
and,,love
and,,hear
and,,one
and,,trip
fun,i'd
fun,love
fun,hear
fun,one
fun,trip
fun,i'd
fun,love
fun,hear
fun,one
fun,trip
well,i'd
well,love
well,hear
well,one
well,trip
i'd,um
i'd,let's
i'd,see
i'd,well
i'd,one
i'd,trip,
i'd,went
i'd,to,
i'd,england,
i'd,ireland
i'd,scotland
i'd,france
i'd,in,
i'd,know,
i'd,one
i'd,trip,
i'd,nice
i'd,variety
love,um
love,let's
love,see
love,well
love,one
love,trip,
love,went
love,to,
love,england,
love,ireland
love,scotland
love,france
love,in,
love,know,
love,one
love,trip,
love,nice
love,variety
hear,um
hear,let's
hear,see
hear,well
hear,one
hear,trip,
hear,went
hear,to,
hear,england,
hear,ireland
hear,scotland
hear,france
hear,in,
hear,know,
hear,one
hear,trip,
hear,nice
hear,variety
one,um
one,let's
one,see
one,well
one,one
one,trip,
one,went
one,to,
one,england,
one,ireland
one,scotland
one,france
one,in,
one,know,
one,one
one,trip,
one,nice
one,variety
trip,um
trip,let's
trip,see
trip,well
trip,one
trip,trip,
trip,went
trip,to,
trip,england,
trip,ireland
trip,scotland
trip,france
trip,in,
trip,know,
trip,one
trip,trip,
trip,nice
trip,variety
um,what's
um,one
um,memorable
um,experience
let's,what's
let's,one
let's,memorable
let's,experience
see,what's
see,one
see,memorable
see,experience
well,what's
well,one
well,memorable
well,experience
one,what's
one,one
one,memorable
one,experience
trip,,what's
trip,,one
trip,,memorable
trip,,experience
went,what's
went,one
went,memorable
went,experience
to,,what's
to,,one
to,,memorable
to,,experience
england,,what's
england,,one
england,,memorable
england,,experience
ireland,what's
ireland,one
ireland,memorable
ireland,experience
scotland,what's
scotland,one
scotland,memorable
scotland,experience
france,what's
france,one
france,memorable
france,experience
in,,what's
in,,one
in,,memorable
in,,experience
know,,what's
know,,one
know,,memorable
know,,experience
one,what's
one,one
one,memorable
one,experience
trip,,what's
trip,,one
trip,,memorable
trip,,experience
nice,what's
nice,one
nice,memorable
nice,experience
variety,what's
variety,one
variety,memorable
variety,experience
what's,um,
what's,guess
what's,could
what's,say
what's,probably
what's,skiing,
what's,val
what's,d'isere
what's,france,
what's,fun,
what's,i'm
what's,glad
what's,got
one,um,
one,guess
one,could
one,say
one,probably
one,skiing,
one,val
one,d'isere
one,france,
one,fun,
one,i'm
one,glad
one,got
memorable,um,
memorable,guess
memorable,could
memorable,say
memorable,probably
memorable,skiing,
memorable,val
memorable,d'isere
memorable,france,
memorable,fun,
memorable,i'm
memorable,glad
memorable,got
experience,um,
experience,guess
experience,could
experience,say
experience,probably
experience,skiing,
experience,val
experience,d'isere
experience,france,
experience,fun,
experience,i'm
experience,glad
experience,got
um,,consider
um,,shy
um,,outgoing
guess,consider
guess,shy
guess,outgoing
could,consider
could,shy
could,outgoing
say,consider
say,shy
say,outgoing
probably,consider
probably,shy
probably,outgoing
skiing,,consider
skiing,,shy
skiing,,outgoing
val,consider
val,shy
val,outgoing
d'isere,consider
d'isere,shy
d'isere,outgoing
france,,consider
france,,shy
france,,outgoing
fun,,consider
fun,,shy
fun,,outgoing
i'm,consider
i'm,shy
i'm,outgoing
glad,consider
glad,shy
glad,outgoing
got,consider
got,shy
got,outgoing
consider,i'm
consider,kind
consider,shy
consider,nature,
consider,i've
consider,tried
consider,grow
consider,shy
consider,so,
consider,i'm
consider,fully
consider,shy
consider,always
consider,extremely
consider,shy,
consider,child,
consider,culver
consider,city
consider,my,
consider,environment
consider,guess
consider,could
consider,say
consider,i'm
consider,really
consider,shy
consider,in,
consider,hometown
consider,culver
consider,city
shy,i'm
shy,kind
shy,shy
shy,nature,
shy,i've
shy,tried
shy,grow
shy,shy
shy,so,
shy,i'm
shy,fully
shy,shy
shy,always
shy,extremely
shy,shy,
shy,child,
shy,culver
shy,city
shy,my,
shy,environment
shy,guess
shy,could
shy,say
shy,i'm
shy,really
shy,shy
shy,in,
shy,hometown
shy,culver
shy,city
outgoing,i'm
outgoing,kind
outgoing,shy
outgoing,nature,
outgoing,i've
outgoing,tried
outgoing,grow
outgoing,shy
outgoing,so,
outgoing,i'm
outgoing,fully
outgoing,shy
outgoing,always
outgoing,extremely
outgoing,shy,
outgoing,child,
outgoing,culver
outgoing,city
outgoing,my,
outgoing,environment
outgoing,guess
outgoing,could
outgoing,say
outgoing,i'm
outgoing,really
outgoing,shy
outgoing,in,
outgoing,hometown
outgoing,culver
outgoing,city
i'm,sometimes
i'm,i'm
i'm,feeling
i'm,tense
i'm,turn
i'm,fish
i'm,tank
i'm,screensaver
i'm,hey
i'm,know
i'm,hawaii
i'm,best
i'm,i've
i'm,got
i'm,relax
kind,sometimes
kind,i'm
kind,feeling
kind,tense
kind,turn
kind,fish
kind,tank
kind,screensaver
kind,hey
kind,know
kind,hawaii
kind,best
kind,i've
kind,got
kind,relax
shy,sometimes
shy,i'm
shy,feeling
shy,tense
shy,turn
shy,fish
shy,tank
shy,screensaver
shy,hey
shy,know
shy,hawaii
shy,best
shy,i've
shy,got
shy,relax
nature,,sometimes
nature,,i'm
nature,,feeling
nature,,tense
nature,,turn
nature,,fish
nature,,tank
nature,,screensaver
nature,,hey
nature,,know
nature,,hawaii
nature,,best
nature,,i've
nature,,got
nature,,relax
i've,sometimes
i've,i'm
i've,feeling
i've,tense
i've,turn
i've,fish
i've,tank
i've,screensaver
i've,hey
i've,know
i've,hawaii
i've,best
i've,i've
i've,got
i've,relax
tried,sometimes
tried,i'm
tried,feeling
tried,tense
tried,turn
tried,fish
tried,tank
tried,screensaver
tried,hey
tried,know
tried,hawaii
tried,best
tried,i've
tried,got
tried,relax
grow,sometimes
grow,i'm
grow,feeling
grow,tense
grow,turn
grow,fish
grow,tank
grow,screensaver
grow,hey
grow,know
grow,hawaii
grow,best
grow,i've
grow,got
grow,relax
shy,sometimes
shy,i'm
shy,feeling
shy,tense
shy,turn
shy,fish
shy,tank
shy,screensaver
shy,hey
shy,know
shy,hawaii
shy,best
shy,i've
shy,got
shy,relax
so,,sometimes
so,,i'm
so,,feeling
so,,tense
so,,turn
so,,fish
so,,tank
so,,screensaver
so,,hey
so,,know
so,,hawaii
so,,best
so,,i've
so,,got
so,,relax
i'm,sometimes
i'm,i'm
i'm,feeling
i'm,tense
i'm,turn
i'm,fish
i'm,tank
i'm,screensaver
i'm,hey
i'm,know
i'm,hawaii
i'm,best
i'm,i've
i'm,got
i'm,relax
fully,sometimes
fully,i'm
fully,feeling
fully,tense
fully,turn
fully,fish
fully,tank
fully,screensaver
fully,hey
fully,know
fully,hawaii
fully,best
fully,i've
fully,got
fully,relax
shy,sometimes
shy,i'm
shy,feeling
shy,tense
shy,turn
shy,fish
shy,tank
shy,screensaver
shy,hey
shy,know
shy,hawaii
shy,best
shy,i've
shy,got
shy,relax
always,sometimes
always,i'm
always,feeling
always,tense
always,turn
always,fish
always,tank
always,screensaver
always,hey
always,know
always,hawaii
always,best
always,i've
always,got
always,relax
extremely,sometimes
extremely,i'm
extremely,feeling
extremely,tense
extremely,turn
extremely,fish
extremely,tank
extremely,screensaver
extremely,hey
extremely,know
extremely,hawaii
extremely,best
extremely,i've
extremely,got
extremely,relax
shy,,sometimes
shy,,i'm
shy,,feeling
shy,,tense
shy,,turn
shy,,fish
shy,,tank
shy,,screensaver
shy,,hey
shy,,know
shy,,hawaii
shy,,best
shy,,i've
shy,,got
shy,,relax
child,,sometimes
child,,i'm
child,,feeling
child,,tense
child,,turn
child,,fish
child,,tank
child,,screensaver
child,,hey
child,,know
child,,hawaii
child,,best
child,,i've
child,,got
child,,relax
culver,sometimes
culver,i'm
culver,feeling
culver,tense
culver,turn
culver,fish
culver,tank
culver,screensaver
culver,hey
culver,know
culver,hawaii
culver,best
culver,i've
culver,got
culver,relax
city,sometimes
city,i'm
city,feeling
city,tense
city,turn
city,fish
city,tank
city,screensaver
city,hey
city,know
city,hawaii
city,best
city,i've
city,got
city,relax
my,,sometimes
my,,i'm
my,,feeling
my,,tense
my,,turn
my,,fish
my,,tank
my,,screensaver
my,,hey
my,,know
my,,hawaii
my,,best
my,,i've
my,,got
my,,relax
environment,sometimes
environment,i'm
environment,feeling
environment,tense
environment,turn
environment,fish
environment,tank
environment,screensaver
environment,hey
environment,know
environment,hawaii
environment,best
environment,i've
environment,got
environment,relax
guess,sometimes
guess,i'm
guess,feeling
guess,tense
guess,turn
guess,fish
guess,tank
guess,screensaver
guess,hey
guess,know
guess,hawaii
guess,best
guess,i've
guess,got
guess,relax
could,sometimes
could,i'm
could,feeling
could,tense
could,turn
could,fish
could,tank
could,screensaver
could,hey
could,know
could,hawaii
could,best
could,i've
could,got
could,relax
say,sometimes
say,i'm
say,feeling
say,tense
say,turn
say,fish
say,tank
say,screensaver
say,hey
say,know
say,hawaii
say,best
say,i've
say,got
say,relax
i'm,sometimes
i'm,i'm
i'm,feeling
i'm,tense
i'm,turn
i'm,fish
i'm,tank
i'm,screensaver
i'm,hey
i'm,know
i'm,hawaii
i'm,best
i'm,i've
i'm,got
i'm,relax
really,sometimes
really,i'm
really,feeling
really,tense
really,turn
really,fish
really,tank
really,screensaver
really,hey
really,know
really,hawaii
really,best
really,i've
really,got
really,relax
shy,sometimes
shy,i'm
shy,feeling
shy,tense
shy,turn
shy,fish
shy,tank
shy,screensaver
shy,hey
shy,know
shy,hawaii
shy,best
shy,i've
shy,got
shy,relax
in,,sometimes
in,,i'm
in,,feeling
in,,tense
in,,turn
in,,fish
in,,tank
in,,screensaver
in,,hey
in,,know
in,,hawaii
in,,best
in,,i've
in,,got
in,,relax
hometown,sometimes
hometown,i'm
hometown,feeling
hometown,tense
hometown,turn
hometown,fish
hometown,tank
hometown,screensaver
hometown,hey
hometown,know
hometown,hawaii
hometown,best
hometown,i've
hometown,got
hometown,relax
culver,sometimes
culver,i'm
culver,feeling
culver,tense
culver,turn
culver,fish
culver,tank
culver,screensaver
culver,hey
culver,know
culver,hawaii
culver,best
culver,i've
culver,got
culver,relax
city,sometimes
city,i'm
city,feeling
city,tense
city,turn
city,fish
city,tank
city,screensaver
city,hey
city,know
city,hawaii
city,best
city,i've
city,got
city,relax
sometimes,hm,
sometimes,relax
sometimes,like
sometimes,curl
sometimes,bed
sometimes,read
sometimes,book
sometimes,take
sometimes,nap,
sometimes,watch
sometimes,tv,
sometimes,sometimes
sometimes,couch
sometimes,living
sometimes,room,
sometimes,know
sometimes,stay
sometimes,home
sometimes,and,
sometimes,kinda
sometimes,vegetate
i'm,hm,
i'm,relax
i'm,like
i'm,curl
i'm,bed
i'm,read
i'm,book
i'm,take
i'm,nap,
i'm,watch
i'm,tv,
i'm,sometimes
i'm,couch
i'm,living
i'm,room,
i'm,know
i'm,stay
i'm,home
i'm,and,
i'm,kinda
i'm,vegetate
feeling,hm,
feeling,relax
feeling,like
feeling,curl
feeling,bed
feeling,read
feeling,book
feeling,take
feeling,nap,
feeling,watch
feeling,tv,
feeling,sometimes
feeling,couch
feeling,living
feeling,room,
feeling,know
feeling,stay
feeling,home
feeling,and,
feeling,kinda
feeling,vegetate
tense,hm,
tense,relax
tense,like
tense,curl
tense,bed
tense,read
tense,book
tense,take
tense,nap,
tense,watch
tense,tv,
tense,sometimes
tense,couch
tense,living
tense,room,
tense,know
tense,stay
tense,home
tense,and,
tense,kinda
tense,vegetate
turn,hm,
turn,relax
turn,like
turn,curl
turn,bed
turn,read
turn,book
turn,take
turn,nap,
turn,watch
turn,tv,
turn,sometimes
turn,couch
turn,living
turn,room,
turn,know
turn,stay
turn,home
turn,and,
turn,kinda
turn,vegetate
fish,hm,
fish,relax
fish,like
fish,curl
fish,bed
fish,read
fish,book
fish,take
fish,nap,
fish,watch
fish,tv,
fish,sometimes
fish,couch
fish,living
fish,room,
fish,know
fish,stay
fish,home
fish,and,
fish,kinda
fish,vegetate
tank,hm,
tank,relax
tank,like
tank,curl
tank,bed
tank,read
tank,book
tank,take
tank,nap,
tank,watch
tank,tv,
tank,sometimes
tank,couch
tank,living
tank,room,
tank,know
tank,stay
tank,home
tank,and,
tank,kinda
tank,vegetate
screensaver,hm,
screensaver,relax
screensaver,like
screensaver,curl
screensaver,bed
screensaver,read
screensaver,book
screensaver,take
screensaver,nap,
screensaver,watch
screensaver,tv,
screensaver,sometimes
screensaver,couch
screensaver,living
screensaver,room,
screensaver,know
screensaver,stay
screensaver,home
screensaver,and,
screensaver,kinda
screensaver,vegetate
hey,hm,
hey,relax
hey,like
hey,curl
hey,bed
hey,read
hey,book
hey,take
hey,nap,
hey,watch
hey,tv,
hey,sometimes
hey,couch
hey,living
hey,room,
hey,know
hey,stay
hey,home
hey,and,
hey,kinda
hey,vegetate
know,hm,
know,relax
know,like
know,curl
know,bed
know,read
know,book
know,take
know,nap,
know,watch
know,tv,
know,sometimes
know,couch
know,living
know,room,
know,know
know,stay
know,home
know,and,
know,kinda
know,vegetate
hawaii,hm,
hawaii,relax
hawaii,like
hawaii,curl
hawaii,bed
hawaii,read
hawaii,book
hawaii,take
hawaii,nap,
hawaii,watch
hawaii,tv,
hawaii,sometimes
hawaii,couch
hawaii,living
hawaii,room,
hawaii,know
hawaii,stay
hawaii,home
hawaii,and,
hawaii,kinda
hawaii,vegetate
best,hm,
best,relax
best,like
best,curl
best,bed
best,read
best,book
best,take
best,nap,
best,watch
best,tv,
best,sometimes
best,couch
best,living
best,room,
best,know
best,stay
best,home
best,and,
best,kinda
best,vegetate
i've,hm,
i've,relax
i've,like
i've,curl
i've,bed
i've,read
i've,book
i've,take
i've,nap,
i've,watch
i've,tv,
i've,sometimes
i've,couch
i've,living
i've,room,
i've,know
i've,stay
i've,home
i've,and,
i've,kinda
i've,vegetate
got,hm,
got,relax
got,like
got,curl
got,bed
got,read
got,book
got,take
got,nap,
got,watch
got,tv,
got,sometimes
got,couch
got,living
got,room,
got,know
got,stay
got,home
got,and,
got,kinda
got,vegetate
relax,hm,
relax,relax
relax,like
relax,curl
relax,bed
relax,read
relax,book
relax,take
relax,nap,
relax,watch
relax,tv,
relax,sometimes
relax,couch
relax,living
relax,room,
relax,know
relax,stay
relax,home
relax,and,
relax,kinda
relax,vegetate
hm,,controlling
hm,,temper
relax,controlling
relax,temper
like,controlling
like,temper
curl,controlling
curl,temper
bed,controlling
bed,temper
read,controlling
read,temper
book,controlling
book,temper
take,controlling
take,temper
nap,,controlling
nap,,temper
watch,controlling
watch,temper
tv,,controlling
tv,,temper
sometimes,controlling
sometimes,temper
couch,controlling
couch,temper
living,controlling
living,temper
room,,controlling
room,,temper
know,controlling
know,temper
stay,controlling
stay,temper
home,controlling
home,temper
and,,controlling
and,,temper
kinda,controlling
kinda,temper
vegetate,controlling
vegetate,temper
controlling,uh
controlling,pretty
controlling,good
controlling,yeah
controlling,temper's
controlling,pretty
controlling,level
temper,uh
temper,pretty
temper,good
temper,yeah
temper,temper's
temper,pretty
temper,level
uh,last
uh,time
uh,argued
uh,someone
pretty,last
pretty,time
pretty,argued
pretty,someone
good,last
good,time
good,argued
good,someone
yeah,last
yeah,time
yeah,argued
yeah,someone
temper's,last
temper's,time
temper's,argued
temper's,someone
pretty,last
pretty,time
pretty,argued
pretty,someone
level,last
level,time
level,argued
level,someone
last,hm,
last,probably
last,my,
last,husband,
last,and,
last,can't
last,remember
last,moment
time,hm,
time,probably
time,my,
time,husband,
time,and,
time,can't
time,remember
time,moment
argued,hm,
argued,probably
argued,my,
argued,husband,
argued,and,
argued,can't
argued,remember
argued,moment
someone,hm,
someone,probably
someone,my,
someone,husband,
someone,and,
someone,can't
someone,remember
someone,moment
hm,,tell
hm,,relationship
hm,,family
probably,tell
probably,relationship
probably,family
my,,tell
my,,relationship
my,,family
husband,,tell
husband,,relationship
husband,,family
and,,tell
and,,relationship
and,,family
can't,tell
can't,relationship
can't,family
remember,tell
remember,relationship
remember,family
moment,tell
moment,relationship
moment,family
tell,um
tell,well
tell,say
tell,family
tell,mean,
tell,family
tell,childhood
tell,current
tell,family
relationship,um
relationship,well
relationship,say
relationship,family
relationship,mean,
relationship,family
relationship,childhood
relationship,current
relationship,family
family,um
family,well
family,say
family,family
family,mean,
family,family
family,childhood
family,current
family,family
um,whatever
um,come
um,mind
well,whatever
well,come
well,mind
say,whatever
say,come
say,mind
family,whatever
family,come
family,mind
mean,,whatever
mean,,come
mean,,mind
family,whatever
family,come
family,mind
childhood,whatever
childhood,come
childhood,mind
current,whatever
current,come
current,mind
family,whatever
family,come
family,mind
whatever,okay
whatever,well
whatever,guess
whatever,current
whatever,family
whatever,come
whatever,mind
whatever,two
whatever,daughters,
whatever,and,
whatever,relationship's
whatever,pretty
whatever,good
whatever,okay
whatever,they're
whatever,teenager
whatever,uh,
whatever,know,
whatever,going
whatever,they're
whatever,going
whatever,lot
whatever,hormone
whatever,and,
whatever,um,
whatever,kinda
whatever,bitchy
whatever,*laughter*
come,okay
come,well
come,guess
come,current
come,family
come,come
come,mind
come,two
come,daughters,
come,and,
come,relationship's
come,pretty
come,good
come,okay
come,they're
come,teenager
come,uh,
come,know,
come,going
come,they're
come,going
come,lot
come,hormone
come,and,
come,um,
come,kinda
come,bitchy
come,*laughter*
mind,okay
mind,well
mind,guess
mind,current
mind,family
mind,come
mind,mind
mind,two
mind,daughters,
mind,and,
mind,relationship's
mind,pretty
mind,good
mind,okay
mind,they're
mind,teenager
mind,uh,
mind,know,
mind,going
mind,they're
mind,going
mind,lot
mind,hormone
mind,and,
mind,um,
mind,kinda
mind,bitchy
mind,*laughter*
okay,laughter
well,laughter
guess,laughter
current,laughter
family,laughter
come,laughter
mind,laughter
two,laughter
daughters,,laughter
and,,laughter
relationship's,laughter
pretty,laughter
good,laughter
okay,laughter
they're,laughter
teenager,laughter
uh,,laughter
know,,laughter
going,laughter
they're,laughter
going,laughter
lot,laughter
hormone,laughter
and,,laughter
um,,laughter
kinda,laughter
bitchy,laughter
*laughter*,laughter
laughter,um
laughter,hoped
laughter,know
laughter,they'll
laughter,grow
laughter,soon
laughter,someday
laughter,we'll
laughter,really
laughter,good
laughter,relationship,
laughter,um
laughter,there's
laughter,husband
laughter,which,
laughter,guess
laughter,could
laughter,say
laughter,soon
laughter,ex
laughter,husband
laughter,hopefully
laughter,soon
laughter,*laughter*,
laughter,need
laughter,get
laughter,divorce
laughter,we're
laughter,still
laughter,together,
laughter,due
laughter,financial
laughter,reasons,
laughter,yeah
um,okay
hoped,okay
know,okay
they'll,okay
grow,okay
soon,okay
someday,okay
we'll,okay
really,okay
good,okay
relationship,,okay
um,okay
there's,okay
husband,okay
which,,okay
guess,okay
could,okay
say,okay
soon,okay
ex,okay
husband,okay
