okay,yes
writing,still
writing,working
somehow,still
somehow,working
aspect,still
aspect,working
still,yeah
working,yeah
yeah,what's
yeah,dream
yeah,job
what's,to,
what's,tv
what's,show
what's,write
what's,everyone
what's,watch
what's,every
what's,week
what's,awesome
dream,to,
dream,tv
dream,show
dream,write
dream,everyone
dream,watch
dream,every
dream,week
dream,awesome
job,to,
job,tv
job,show
job,write
job,everyone
job,watch
job,every
job,week
job,awesome
to,,hard
tv,hard
show,hard
write,hard
everyone,hard
watch,hard
every,hard
week,hard
awesome,hard
hard,really
hard,hard
'cause,consider
'cause,shy
'cause,outgoing
there's,consider
there's,shy
there's,outgoing
lot,consider
lot,shy
lot,outgoing
people,consider
people,shy
people,outgoing
dream,consider
dream,shy
dream,outgoing
so,,consider
so,,shy
so,,outgoing
yeah,consider
yeah,shy
yeah,outgoing
consider,outgoing
consider,shy
shy,outgoing
shy,shy
outgoing,outgoing
outgoing,shy
uh,sometimes
uh,i'm
uh,feeling
uh,tense
uh,turn
uh,fish
uh,tank
uh,screensaver
uh,hey
uh,know
uh,hawaii
uh,best
uh,i've
uh,got
uh,relax
like,sometimes
like,i'm
like,feeling
like,tense
like,turn
like,fish
like,tank
like,screensaver
like,hey
like,know
like,hawaii
like,best
like,i've
like,got
like,relax
talking,sometimes
talking,i'm
talking,feeling
talking,tense
talking,turn
talking,fish
talking,tank
talking,screensaver
talking,hey
talking,know
talking,hawaii
talking,best
talking,i've
talking,got
talking,relax
people,sometimes
people,i'm
people,feeling
people,tense
people,turn
people,fish
people,tank
people,screensaver
people,hey
people,know
people,hawaii
people,best
people,i've
people,got
people,relax
enjoy,sometimes
enjoy,i'm
enjoy,feeling
enjoy,tense
enjoy,turn
enjoy,fish
enjoy,tank
enjoy,screensaver
enjoy,hey
enjoy,know
enjoy,hawaii
enjoy,best
enjoy,i've
enjoy,got
enjoy,relax
people,sometimes
people,i'm
people,feeling
people,tense
people,turn
people,fish
people,tank
people,screensaver
people,hey
people,know
people,hawaii
people,best
people,i've
people,got
people,relax
sometimes,mm
sometimes,um
sometimes,go
sometimes,movie
sometimes,or,
sometimes,turn
sometimes,music
sometimes,dance
i'm,mm
i'm,um
i'm,go
i'm,movie
i'm,or,
i'm,turn
i'm,music
i'm,dance
feeling,mm
feeling,um
feeling,go
feeling,movie
feeling,or,
feeling,turn
feeling,music
feeling,dance
tense,mm
tense,um
tense,go
tense,movie
tense,or,
tense,turn
tense,music
tense,dance
turn,mm
turn,um
turn,go
turn,movie
turn,or,
turn,turn
turn,music
turn,dance
fish,mm
fish,um
fish,go
fish,movie
fish,or,
fish,turn
fish,music
fish,dance
tank,mm
tank,um
tank,go
tank,movie
tank,or,
tank,turn
tank,music
tank,dance
screensaver,mm
screensaver,um
screensaver,go
screensaver,movie
screensaver,or,
screensaver,turn
screensaver,music
screensaver,dance
hey,mm
hey,um
hey,go
hey,movie
hey,or,
hey,turn
hey,music
hey,dance
know,mm
know,um
know,go
know,movie
know,or,
know,turn
know,music
know,dance
hawaii,mm
hawaii,um
hawaii,go
hawaii,movie
hawaii,or,
hawaii,turn
hawaii,music
hawaii,dance
best,mm
best,um
best,go
best,movie
best,or,
best,turn
best,music
best,dance
i've,mm
i've,um
i've,go
i've,movie
i've,or,
i've,turn
i've,music
i've,dance
got,mm
got,um
got,go
got,movie
got,or,
got,turn
got,music
got,dance
relax,mm
relax,um
relax,go
relax,movie
relax,or,
relax,turn
relax,music
relax,dance
mm,controlling
mm,temper
um,controlling
um,temper
go,controlling
go,temper
movie,controlling
movie,temper
or,,controlling
or,,temper
turn,controlling
turn,temper
music,controlling
music,temper
dance,controlling
dance,temper
controlling,pretty
controlling,good
temper,pretty
temper,good
pretty,last
pretty,time
pretty,argued
pretty,someone
good,last
good,time
good,argued
good,someone
last,um
last,*sigh*
last,work
last,couple
last,month
last,ago
last,month
last,ago,
last,um
last,got,
last,mad
last,someone
last,think
last,giving
last,clear
last,instructions,
last,um
last,tried
last,conversation
last,got
last,mad
last,got
last,mad
last,and,
last,got
last,mad
time,um
time,*sigh*
time,work
time,couple
time,month
time,ago
time,month
time,ago,
time,um
time,got,
time,mad
time,someone
time,think
time,giving
time,clear
time,instructions,
time,um
time,tried
time,conversation
time,got
time,mad
time,got
time,mad
time,and,
time,got
time,mad
argued,um
argued,*sigh*
argued,work
argued,couple
argued,month
argued,ago
argued,month
argued,ago,
argued,um
argued,got,
argued,mad
argued,someone
argued,think
argued,giving
argued,clear
argued,instructions,
argued,um
argued,tried
argued,conversation
argued,got
argued,mad
argued,got
argued,mad
argued,and,
argued,got
argued,mad
someone,um
someone,*sigh*
someone,work
someone,couple
someone,month
someone,ago
someone,month
someone,ago,
someone,um
someone,got,
someone,mad
someone,someone
someone,think
someone,giving
someone,clear
someone,instructions,
someone,um
someone,tried
someone,conversation
someone,got
someone,mad
someone,got
someone,mad
someone,and,
someone,got
someone,mad
um,feel
um,moment
*sigh*,feel
*sigh*,moment
work,feel
work,moment
couple,feel
couple,moment
month,feel
month,moment
ago,feel
ago,moment
month,feel
month,moment
ago,,feel
ago,,moment
um,feel
um,moment
got,,feel
got,,moment
mad,feel
mad,moment
someone,feel
someone,moment
think,feel
think,moment
giving,feel
giving,moment
clear,feel
clear,moment
instructions,,feel
instructions,,moment
um,feel
um,moment
tried,feel
tried,moment
conversation,feel
conversation,moment
got,feel
got,moment
mad,feel
mad,moment
got,feel
got,moment
mad,feel
mad,moment
and,,feel
and,,moment
got,feel
got,moment
mad,feel
mad,moment
feel,um
feel,felt
feel,like
feel,heard
feel,listened
feel,and,
feel,felt
feel,like
feel,able
feel,real
feel,dialogue
feel,so,
feel,um
feel,dialogue
feel,felt
feel,like
feel,one
feel,listening
moment,um
moment,felt
moment,like
moment,heard
moment,listened
moment,and,
moment,felt
moment,like
moment,able
moment,real
moment,dialogue
moment,so,
moment,um
moment,dialogue
moment,felt
moment,like
moment,one
moment,listening
um,suck
felt,suck
like,suck
heard,suck
listened,suck
and,,suck
felt,suck
like,suck
able,suck
real,suck
dialogue,suck
so,,suck
um,suck
dialogue,suck
felt,suck
like,suck
one,suck
listening,suck
suck,totally
totally,tell
totally,situation
totally,wish
totally,handled
totally,differently
tell,um,
tell,,
tell,uh,
tell,um,
tell,regret
tell,*laughter*
tell,um
tell,*laughter*,
tell,guess,
tell,hmm,
tell,know
tell,one
tell,mean
tell,i'm
tell,sure
tell,but,
tell,uh
tell,one
tell,time
tell,driving
tell,behind
tell,someone
tell,well
tell,cut
tell,off,
tell,and,
tell,think
tell,it'd
tell,one
tell,day
tell,like
tell,year
tell,ago
tell,two
tell,year
tell,ago,
tell,um
tell,one
tell,day
tell,want,
tell,frustrating
tell,day
tell,person
tell,cut
tell,almost
tell,got
tell,accident
tell,followed
tell,parking
tell,spot,
tell,and,
tell,actually
tell,honked
tell,flipped
tell,off,
tell,really
tell,really
tell,got
tell,skin
tell,someone
tell,would
tell,cut
tell,almost
tell,cause
tell,accident
tell,uh,
tell,flip
tell,off,
tell,followed
tell,spot
tell,asked
tell,said
tell,miss
tell,flip
tell,cut
tell,off,
tell,said
tell,oh
tell,know
tell,i'm,
tell,i've
tell,rough
tell,day
tell,need
tell,attitude
tell,daughter
tell,told
tell,well
tell,really
tell,setting
tell,good
tell,example
tell,daughter
tell,know,
tell,need
tell,petty
tell,like
tell,just,
tell,wanted
tell,guess
situation,um,
situation,,
situation,uh,
situation,um,
situation,regret
situation,*laughter*
situation,um
situation,*laughter*,
situation,guess,
situation,hmm,
situation,know
situation,one
situation,mean
situation,i'm
situation,sure
situation,but,
situation,uh
situation,one
situation,time
situation,driving
situation,behind
situation,someone
situation,well
situation,cut
situation,off,
situation,and,
situation,think
situation,it'd
situation,one
situation,day
situation,like
situation,year
situation,ago
situation,two
situation,year
situation,ago,
situation,um
situation,one
situation,day
situation,want,
situation,frustrating
situation,day
situation,person
situation,cut
situation,almost
situation,got
situation,accident
situation,followed
situation,parking
situation,spot,
situation,and,
situation,actually
situation,honked
situation,flipped
situation,off,
situation,really
situation,really
situation,got
situation,skin
situation,someone
situation,would
situation,cut
situation,almost
situation,cause
situation,accident
situation,uh,
situation,flip
situation,off,
situation,followed
situation,spot
situation,asked
situation,said
situation,miss
situation,flip
situation,cut
situation,off,
situation,said
situation,oh
situation,know
situation,i'm,
situation,i've
situation,rough
situation,day
situation,need
situation,attitude
situation,daughter
situation,told
situation,well
situation,really
situation,setting
situation,good
situation,example
situation,daughter
situation,know,
situation,need
situation,petty
situation,like
situation,just,
situation,wanted
situation,guess
wish,um,
wish,,
wish,uh,
wish,um,
wish,regret
wish,*laughter*
wish,um
wish,*laughter*,
wish,guess,
wish,hmm,
wish,know
wish,one
wish,mean
wish,i'm
wish,sure
wish,but,
wish,uh
wish,one
wish,time
wish,driving
wish,behind
wish,someone
wish,well
wish,cut
wish,off,
wish,and,
wish,think
wish,it'd
wish,one
wish,day
wish,like
wish,year
wish,ago
wish,two
wish,year
wish,ago,
wish,um
wish,one
wish,day
wish,want,
wish,frustrating
wish,day
wish,person
wish,cut
wish,almost
wish,got
wish,accident
wish,followed
wish,parking
wish,spot,
wish,and,
wish,actually
wish,honked
wish,flipped
wish,off,
wish,really
wish,really
wish,got
wish,skin
wish,someone
wish,would
wish,cut
wish,almost
wish,cause
wish,accident
wish,uh,
wish,flip
wish,off,
wish,followed
wish,spot
wish,asked
wish,said
wish,miss
wish,flip
wish,cut
wish,off,
wish,said
wish,oh
wish,know
wish,i'm,
wish,i've
wish,rough
wish,day
wish,need
wish,attitude
wish,daughter
wish,told
wish,well
wish,really
wish,setting
wish,good
wish,example
wish,daughter
wish,know,
wish,need
wish,petty
wish,like
wish,just,
wish,wanted
wish,guess
handled,um,
handled,,
handled,uh,
handled,um,
handled,regret
handled,*laughter*
handled,um
handled,*laughter*,
handled,guess,
handled,hmm,
handled,know
handled,one
handled,mean
handled,i'm
handled,sure
handled,but,
handled,uh
handled,one
handled,time
handled,driving
handled,behind
handled,someone
handled,well
handled,cut
handled,off,
handled,and,
handled,think
handled,it'd
handled,one
handled,day
handled,like
handled,year
handled,ago
handled,two
handled,year
handled,ago,
handled,um
handled,one
handled,day
handled,want,
handled,frustrating
handled,day
handled,person
handled,cut
handled,almost
handled,got
handled,accident
handled,followed
handled,parking
handled,spot,
handled,and,
handled,actually
handled,honked
handled,flipped
handled,off,
handled,really
handled,really
handled,got
handled,skin
handled,someone
handled,would
handled,cut
handled,almost
handled,cause
handled,accident
handled,uh,
handled,flip
handled,off,
handled,followed
handled,spot
handled,asked
handled,said
handled,miss
handled,flip
handled,cut
handled,off,
handled,said
handled,oh
handled,know
handled,i'm,
handled,i've
handled,rough
handled,day
handled,need
handled,attitude
handled,daughter
handled,told
handled,well
handled,really
handled,setting
handled,good
handled,example
handled,daughter
handled,know,
handled,need
handled,petty
handled,like
handled,just,
handled,wanted
handled,guess
differently,um,
differently,,
differently,uh,
differently,um,
differently,regret
differently,*laughter*
differently,um
differently,*laughter*,
differently,guess,
differently,hmm,
differently,know
differently,one
differently,mean
differently,i'm
differently,sure
differently,but,
differently,uh
differently,one
differently,time
differently,driving
differently,behind
differently,someone
differently,well
differently,cut
differently,off,
differently,and,
differently,think
differently,it'd
differently,one
differently,day
differently,like
differently,year
differently,ago
differently,two
differently,year
differently,ago,
differently,um
differently,one
differently,day
differently,want,
differently,frustrating
differently,day
differently,person
differently,cut
differently,almost
differently,got
differently,accident
differently,followed
differently,parking
differently,spot,
differently,and,
differently,actually
differently,honked
differently,flipped
differently,off,
differently,really
differently,really
differently,got
differently,skin
differently,someone
differently,would
differently,cut
differently,almost
differently,cause
differently,accident
differently,uh,
differently,flip
differently,off,
differently,followed
differently,spot
differently,asked
differently,said
differently,miss
differently,flip
differently,cut
differently,off,
differently,said
differently,oh
differently,know
differently,i'm,
differently,i've
differently,rough
differently,day
differently,need
differently,attitude
differently,daughter
differently,told
differently,well
differently,really
differently,setting
differently,good
differently,example
differently,daughter
differently,know,
differently,need
differently,petty
differently,like
differently,just,
differently,wanted
differently,guess
um,,tell
um,,hardest
um,,decision
um,,ever
um,,make
,,tell
,,hardest
,,decision
,,ever
,,make
uh,,tell
uh,,hardest
uh,,decision
uh,,ever
uh,,make
um,,tell
um,,hardest
um,,decision
um,,ever
um,,make
regret,tell
regret,hardest
regret,decision
regret,ever
regret,make
*laughter*,tell
*laughter*,hardest
*laughter*,decision
*laughter*,ever
*laughter*,make
um,tell
um,hardest
um,decision
um,ever
um,make
*laughter*,,tell
*laughter*,,hardest
*laughter*,,decision
*laughter*,,ever
*laughter*,,make
guess,,tell
guess,,hardest
guess,,decision
guess,,ever
guess,,make
hmm,,tell
hmm,,hardest
hmm,,decision
hmm,,ever
hmm,,make
know,tell
know,hardest
know,decision
know,ever
know,make
one,tell
one,hardest
one,decision
one,ever
one,make
mean,tell
mean,hardest
mean,decision
mean,ever
mean,make
i'm,tell
i'm,hardest
i'm,decision
i'm,ever
i'm,make
sure,tell
sure,hardest
sure,decision
sure,ever
sure,make
but,,tell
but,,hardest
but,,decision
but,,ever
but,,make
uh,tell
uh,hardest
uh,decision
uh,ever
uh,make
one,tell
one,hardest
one,decision
one,ever
one,make
time,tell
time,hardest
time,decision
time,ever
time,make
driving,tell
driving,hardest
driving,decision
driving,ever
driving,make
behind,tell
behind,hardest
behind,decision
behind,ever
behind,make
someone,tell
someone,hardest
someone,decision
someone,ever
someone,make
well,tell
well,hardest
well,decision
well,ever
well,make
cut,tell
cut,hardest
cut,decision
cut,ever
cut,make
off,,tell
off,,hardest
off,,decision
off,,ever
off,,make
and,,tell
and,,hardest
and,,decision
and,,ever
and,,make
think,tell
think,hardest
think,decision
think,ever
think,make
it'd,tell
it'd,hardest
it'd,decision
it'd,ever
it'd,make
one,tell
one,hardest
one,decision
one,ever
one,make
day,tell
day,hardest
day,decision
day,ever
day,make
like,tell
like,hardest
like,decision
like,ever
like,make
year,tell
year,hardest
year,decision
year,ever
year,make
ago,tell
ago,hardest
ago,decision
ago,ever
ago,make
two,tell
two,hardest
two,decision
two,ever
two,make
year,tell
year,hardest
year,decision
year,ever
year,make
ago,,tell
ago,,hardest
ago,,decision
ago,,ever
ago,,make
um,tell
um,hardest
um,decision
um,ever
um,make
one,tell
one,hardest
one,decision
one,ever
one,make
day,tell
day,hardest
day,decision
day,ever
day,make
want,,tell
want,,hardest
want,,decision
want,,ever
want,,make
frustrating,tell
frustrating,hardest
frustrating,decision
frustrating,ever
frustrating,make
day,tell
day,hardest
day,decision
day,ever
day,make
person,tell
person,hardest
person,decision
person,ever
person,make
cut,tell
cut,hardest
cut,decision
cut,ever
cut,make
almost,tell
almost,hardest
almost,decision
almost,ever
almost,make
got,tell
got,hardest
got,decision
got,ever
got,make
accident,tell
accident,hardest
accident,decision
accident,ever
accident,make
followed,tell
followed,hardest
followed,decision
followed,ever
followed,make
parking,tell
parking,hardest
parking,decision
parking,ever
parking,make
spot,,tell
spot,,hardest
spot,,decision
spot,,ever
spot,,make
and,,tell
and,,hardest
and,,decision
and,,ever
and,,make
actually,tell
actually,hardest
actually,decision
actually,ever
actually,make
honked,tell
honked,hardest
honked,decision
honked,ever
honked,make
flipped,tell
flipped,hardest
flipped,decision
flipped,ever
flipped,make
off,,tell
off,,hardest
off,,decision
off,,ever
off,,make
really,tell
really,hardest
really,decision
really,ever
really,make
really,tell
really,hardest
really,decision
really,ever
really,make
got,tell
got,hardest
got,decision
got,ever
got,make
skin,tell
skin,hardest
skin,decision
skin,ever
skin,make
someone,tell
someone,hardest
someone,decision
someone,ever
someone,make
would,tell
would,hardest
would,decision
would,ever
would,make
cut,tell
cut,hardest
cut,decision
cut,ever
cut,make
almost,tell
almost,hardest
almost,decision
almost,ever
almost,make
cause,tell
cause,hardest
cause,decision
cause,ever
cause,make
accident,tell
accident,hardest
accident,decision
accident,ever
accident,make
uh,,tell
uh,,hardest
uh,,decision
uh,,ever
uh,,make
flip,tell
flip,hardest
flip,decision
flip,ever
flip,make
off,,tell
off,,hardest
off,,decision
off,,ever
off,,make
followed,tell
followed,hardest
followed,decision
followed,ever
followed,make
spot,tell
spot,hardest
spot,decision
spot,ever
spot,make
asked,tell
asked,hardest
asked,decision
asked,ever
asked,make
said,tell
said,hardest
said,decision
said,ever
said,make
miss,tell
miss,hardest
miss,decision
miss,ever
miss,make
flip,tell
flip,hardest
flip,decision
flip,ever
flip,make
cut,tell
cut,hardest
cut,decision
cut,ever
cut,make
off,,tell
off,,hardest
off,,decision
off,,ever
off,,make
said,tell
said,hardest
said,decision
said,ever
said,make
oh,tell
oh,hardest
oh,decision
oh,ever
oh,make
know,tell
know,hardest
know,decision
know,ever
know,make
i'm,,tell
i'm,,hardest
i'm,,decision
i'm,,ever
i'm,,make
i've,tell
i've,hardest
i've,decision
i've,ever
i've,make
rough,tell
rough,hardest
rough,decision
rough,ever
rough,make
day,tell
day,hardest
day,decision
day,ever
day,make
need,tell
need,hardest
need,decision
need,ever
need,make
attitude,tell
attitude,hardest
attitude,decision
attitude,ever
attitude,make
daughter,tell
daughter,hardest
daughter,decision
daughter,ever
daughter,make
told,tell
told,hardest
told,decision
told,ever
told,make
well,tell
well,hardest
well,decision
well,ever
well,make
really,tell
really,hardest
really,decision
really,ever
really,make
setting,tell
setting,hardest
setting,decision
setting,ever
setting,make
good,tell
good,hardest
good,decision
good,ever
good,make
example,tell
example,hardest
example,decision
example,ever
example,make
daughter,tell
daughter,hardest
daughter,decision
daughter,ever
daughter,make
know,,tell
know,,hardest
know,,decision
know,,ever
know,,make
need,tell
need,hardest
need,decision
need,ever
need,make
petty,tell
petty,hardest
petty,decision
petty,ever
petty,make
like,tell
like,hardest
like,decision
like,ever
like,make
just,,tell
just,,hardest
just,,decision
just,,ever
just,,make
wanted,tell
wanted,hardest
wanted,decision
wanted,ever
wanted,make
guess,tell
guess,hardest
guess,decision
guess,ever
guess,make
tell,ooh
tell,*sigh*
