today,alright
tense,*laughter*
turn,count
turn,ten
turn,*laughter*
fish,count
fish,ten
fish,*laughter*
tank,count
tank,ten
tank,*laughter*
screensaver,count
screensaver,ten
screensaver,*laughter*
hey,count
hey,ten
hey,*laughter*
know,count
know,ten
know,*laughter*
hawaii,count
hawaii,ten
hawaii,*laughter*
best,count
best,ten
best,*laughter*
i've,count
i've,ten
i've,*laughter*
got,count
got,ten
got,*laughter*
relax,count
relax,ten
relax,*laughter*
count,controlling
count,temper
ten,controlling
ten,temper
*laughter*,controlling
*laughter*,temper
controlling,i'm
controlling,alright,
controlling,alright
temper,i'm
temper,alright,
temper,alright
i'm,last
i'm,time
i'm,argued
i'm,someone
alright,,last
alright,,time
alright,,argued
alright,,someone
alright,last
alright,time
alright,argued
alright,someone
last,i'm
last,arguing
last,time
last,*laughter*
time,i'm
time,arguing
time,time
time,*laughter*
argued,i'm
argued,arguing
argued,time
argued,*laughter*
someone,i'm
someone,arguing
someone,time
someone,*laughter*
i'm,give
i'm,example
arguing,give
arguing,example
time,give
time,example
*laughter*,give
*laughter*,example
give,uh,
give,dish
give,mm,
give,different
give,thing
give,wanna
give,*laughter*
example,uh,
example,dish
example,mm,
example,different
example,thing
example,wanna
example,*laughter*
uh,,tell
uh,,situation
uh,,wish
uh,,handled
uh,,differently
dish,tell
dish,situation
dish,wish
dish,handled
dish,differently
mm,,tell
mm,,situation
mm,,wish
mm,,handled
mm,,differently
different,tell
different,situation
different,wish
different,handled
different,differently
thing,tell
thing,situation
thing,wish
thing,handled
thing,differently
wanna,tell
wanna,situation
wanna,wish
wanna,handled
wanna,differently
*laughter*,tell
*laughter*,situation
*laughter*,wish
*laughter*,handled
*laughter*,differently
tell,that,
tell,can't
tell,really
tell,think
tell,one
tell,right
situation,that,
situation,can't
situation,really
situation,think
situation,one
situation,right
wish,that,
wish,can't
wish,really
wish,think
wish,one
wish,right
handled,that,
handled,can't
handled,really
handled,think
handled,one
handled,right
differently,that,
differently,can't
differently,really
differently,think
differently,one
differently,right
that,,tell
that,,event
that,,something
that,,wish
that,,could
that,,erase
that,,memory
can't,tell
can't,event
can't,something
can't,wish
can't,could
can't,erase
can't,memory
really,tell
really,event
really,something
really,wish
really,could
really,erase
really,memory
think,tell
think,event
think,something
think,wish
think,could
think,erase
think,memory
one,tell
one,event
one,something
one,wish
one,could
one,erase
one,memory
right,tell
right,event
right,something
right,wish
right,could
right,erase
right,memory
tell,mm,
tell,something
tell,wish
tell,could
tell,erase
tell,memory,
tell,mm,
tell,uh
tell,nothing
tell,really
tell,come
tell,mind
tell,right
tell,now,
tell,i'm
tell,drawing
tell,blank
tell,*laughter*
event,mm,
event,something
event,wish
event,could
event,erase
event,memory,
event,mm,
event,uh
event,nothing
event,really
event,come
event,mind
event,right
event,now,
event,i'm
event,drawing
event,blank
event,*laughter*
something,mm,
something,something
something,wish
something,could
something,erase
something,memory,
something,mm,
something,uh
something,nothing
something,really
something,come
something,mind
something,right
something,now,
something,i'm
something,drawing
something,blank
something,*laughter*
wish,mm,
wish,something
wish,wish
wish,could
wish,erase
wish,memory,
wish,mm,
wish,uh
wish,nothing
wish,really
wish,come
wish,mind
wish,right
wish,now,
wish,i'm
wish,drawing
wish,blank
wish,*laughter*
could,mm,
could,something
could,wish
could,could
could,erase
could,memory,
could,mm,
could,uh
could,nothing
could,really
could,come
could,mind
could,right
could,now,
could,i'm
could,drawing
could,blank
could,*laughter*
erase,mm,
erase,something
erase,wish
erase,could
erase,erase
erase,memory,
erase,mm,
erase,uh
erase,nothing
erase,really
erase,come
erase,mind
erase,right
erase,now,
erase,i'm
erase,drawing
erase,blank
erase,*laughter*
memory,mm,
memory,something
memory,wish
memory,could
memory,erase
memory,memory,
memory,mm,
memory,uh
memory,nothing
memory,really
memory,come
memory,mind
memory,right
memory,now,
memory,i'm
memory,drawing
memory,blank
memory,*laughter*
mm,,what's
mm,,something
mm,,feel
mm,,guilty
something,what's
something,something
something,feel
something,guilty
wish,what's
wish,something
wish,feel
wish,guilty
could,what's
could,something
could,feel
could,guilty
erase,what's
erase,something
erase,feel
erase,guilty
memory,,what's
memory,,something
memory,,feel
memory,,guilty
mm,,what's
mm,,something
mm,,feel
mm,,guilty
uh,what's
uh,something
uh,feel
uh,guilty
nothing,what's
nothing,something
nothing,feel
nothing,guilty
really,what's
really,something
really,feel
really,guilty
come,what's
come,something
come,feel
come,guilty
mind,what's
mind,something
mind,feel
mind,guilty
right,what's
right,something
right,feel
right,guilty
now,,what's
now,,something
now,,feel
now,,guilty
i'm,what's
i'm,something
i'm,feel
i'm,guilty
drawing,what's
drawing,something
drawing,feel
drawing,guilty
blank,what's
blank,something
blank,feel
blank,guilty
*laughter*,what's
*laughter*,something
*laughter*,feel
*laughter*,guilty
what's,feel
what's,guilty
what's,not,
what's,money
what's,bill
what's,*laughter*,
what's,job
what's,*laughter*,
what's,nothing
what's,life
what's,*laughter*
something,feel
something,guilty
something,not,
something,money
something,bill
something,*laughter*,
something,job
something,*laughter*,
something,nothing
something,life
something,*laughter*
feel,feel
feel,guilty
feel,not,
feel,money
feel,bill
feel,*laughter*,
feel,job
feel,*laughter*,
feel,nothing
feel,life
feel,*laughter*
guilty,feel
guilty,guilty
guilty,not,
guilty,money
guilty,bill
guilty,*laughter*,
guilty,job
guilty,*laughter*,
guilty,nothing
guilty,life
guilty,*laughter*
feel,sound
feel,really
feel,hard
guilty,sound
guilty,really
guilty,hard
not,,sound
not,,really
not,,hard
money,sound
money,really
money,hard
bill,sound
bill,really
bill,hard
*laughter*,,sound
*laughter*,,really
*laughter*,,hard
job,sound
job,really
job,hard
*laughter*,,sound
*laughter*,,really
*laughter*,,hard
nothing,sound
nothing,really
nothing,hard
life,sound
life,really
life,hard
*laughter*,sound
*laughter*,really
*laughter*,hard
sound,yeah,
sound,*laughter*
really,yeah,
really,*laughter*
hard,yeah,
hard,*laughter*
yeah,,think
yeah,,maybe
yeah,,little
yeah,,hard
*laughter*,think
*laughter*,maybe
*laughter*,little
*laughter*,hard
think,mean
think,i'm
think,getting
think,older,
think,*laughter*,
think,really
maybe,mean
maybe,i'm
maybe,getting
maybe,older,
maybe,*laughter*,
maybe,really
little,mean
little,i'm
little,getting
little,older,
little,*laughter*,
little,really
hard,mean
hard,i'm
hard,getting
hard,older,
hard,*laughter*,
hard,really
mean,tell
mean,hardest
mean,decision
mean,ever
mean,make
i'm,tell
i'm,hardest
i'm,decision
i'm,ever
i'm,make
getting,tell
getting,hardest
getting,decision
getting,ever
getting,make
older,,tell
older,,hardest
older,,decision
older,,ever
older,,make
*laughter*,,tell
*laughter*,,hardest
*laughter*,,decision
*laughter*,,ever
*laughter*,,make
really,tell
really,hardest
really,decision
really,ever
really,make
tell,kind
tell,car
tell,buy
hardest,kind
hardest,car
hardest,buy
decision,kind
decision,car
decision,buy
ever,kind
ever,car
ever,buy
make,kind
make,car
make,buy
kind,last
kind,time
kind,happened
car,last
car,time
car,happened
buy,last
buy,time
buy,happened
last,two
last,year
last,ago
time,two
time,year
time,ago
happened,two
happened,year
happened,ago
two,tell
year,tell
ago,tell
tell,lot
tell,research
lot,like
research,like
like,looking
like,magazine
like,going
like,internet
like,just,
like,looking
like,car
like,seeing
like,wanted
like,get
like,budget
looking,easy
looking,get
looking,good
looking,night's
looking,sleep
magazine,easy
magazine,get
magazine,good
magazine,night's
magazine,sleep
going,easy
going,get
going,good
going,night's
going,sleep
internet,easy
internet,get
internet,good
internet,night's
internet,sleep
just,,easy
just,,get
just,,good
just,,night's
just,,sleep
looking,easy
looking,get
looking,good
looking,night's
looking,sleep
car,easy
car,get
car,good
car,night's
car,sleep
seeing,easy
seeing,get
seeing,good
seeing,night's
seeing,sleep
wanted,easy
wanted,get
wanted,good
wanted,night's
wanted,sleep
get,easy
get,get
get,good
get,night's
get,sleep
budget,easy
budget,get
budget,good
budget,night's
budget,sleep
easy,that's
easy,alright
get,that's
get,alright
good,that's
good,alright
night's,that's
night's,alright
sleep,that's
sleep,alright
that's,like
that's,sleep
that's,well
alright,like
alright,sleep
alright,well
like,aggravated
sleep,aggravated
well,aggravated
aggravated,uh
aggravated,huh
uh,angry
huh,angry
angry,feeling
angry,lately
feeling,i've
feeling,feeling
feeling,alright
feeling,um,
feeling,little
feeling,down,
feeling,uh
lately,i've
lately,feeling
lately,alright
lately,um,
lately,little
lately,down,
lately,uh
i've,noticed
i've,change
i've,behavior
i've,thought
i've,lately
feeling,noticed
feeling,change
feeling,behavior
feeling,thought
feeling,lately
alright,noticed
alright,change
alright,behavior
alright,thought
alright,lately
um,,noticed
um,,change
um,,behavior
um,,thought
um,,lately
little,noticed
little,change
little,behavior
little,thought
little,lately
down,,noticed
down,,change
down,,behavior
down,,thought
down,,lately
uh,noticed
uh,change
uh,behavior
uh,thought
uh,lately
noticed,yeah
noticed,well
noticed,eating
noticed,pattern
noticed,like
noticed,i'm
noticed,like
noticed,appetite
noticed,i'm
noticed,just,
noticed,restless
noticed,moody
change,yeah
change,well
change,eating
change,pattern
change,like
change,i'm
change,like
change,appetite
change,i'm
change,just,
change,restless
change,moody
behavior,yeah
behavior,well
behavior,eating
behavior,pattern
behavior,like
behavior,i'm
behavior,like
behavior,appetite
behavior,i'm
behavior,just,
behavior,restless
behavior,moody
thought,yeah
thought,well
thought,eating
thought,pattern
thought,like
thought,i'm
thought,like
thought,appetite
thought,i'm
thought,just,
thought,restless
thought,moody
lately,yeah
lately,well
lately,eating
lately,pattern
lately,like
lately,i'm
lately,like
lately,appetite
lately,i'm
lately,just,
lately,restless
lately,moody
yeah,ever
yeah,diagnosed
yeah,ptsd
well,ever
well,diagnosed
well,ptsd
eating,ever
eating,diagnosed
eating,ptsd
pattern,ever
pattern,diagnosed
pattern,ptsd
like,ever
like,diagnosed
like,ptsd
i'm,ever
i'm,diagnosed
i'm,ptsd
like,ever
like,diagnosed
like,ptsd
appetite,ever
appetite,diagnosed
appetite,ptsd
i'm,ever
i'm,diagnosed
i'm,ptsd
just,,ever
just,,diagnosed
just,,ptsd
restless,ever
restless,diagnosed
restless,ptsd
moody,ever
moody,diagnosed
moody,ptsd
tell,play
tell,dog
last,play
last,dog
time,play
time,dog
felt,play
felt,dog
really,play
really,dog
happy,play
happy,dog
play,last
play,time
play,happened
dog,last
dog,time
dog,happened
last,morning
time,morning
happened,morning
morning,tell
tell,know
tell,just,
tell,whenever
tell,get,
tell,super
tell,bored
tell,need
tell,time
tell,to,
tell,play
tell,dog
know,that's
know,good
just,,that's
just,,good
whenever,that's
whenever,good
get,,that's
get,,good
super,that's
super,good
bored,that's
bored,good
need,that's
need,good
time,that's
time,good
to,,that's
to,,good
play,that's
play,good
dog,that's
dog,good
that's,yeah
good,yeah
yeah,tell
yeah,spend
yeah,ideal
yeah,weekend
tell,trying
tell,busy
tell,possible
tell,*laughter*
spend,trying
spend,busy
spend,possible
spend,*laughter*
ideal,trying
ideal,busy
ideal,possible
ideal,*laughter*
weekend,trying
weekend,busy
weekend,possible
weekend,*laughter*
trying,thing
trying,wish
trying,could
trying,change
busy,thing
busy,wish
busy,could
busy,change
possible,thing
possible,wish
possible,could
possible,change
*laughter*,thing
*laughter*,wish
*laughter*,could
*laughter*,change
thing,oh
thing,wish
thing,education
thing,uh,
thing,better
thing,job,
thing,just,
thing,time
thing,thing
thing,*laughter*
wish,oh
wish,wish
wish,education
wish,uh,
wish,better
wish,job,
wish,just,
wish,time
wish,thing
wish,*laughter*
could,oh
could,wish
could,education
could,uh,
could,better
could,job,
could,just,
could,time
could,thing
could,*laughter*
change,oh
change,wish
change,education
change,uh,
change,better
change,job,
change,just,
change,time
change,thing
change,*laughter*
oh,advice
oh,would
oh,give
oh,ten
oh,twenty
oh,year
oh,ago
wish,advice
wish,would
wish,give
wish,ten
wish,twenty
wish,year
wish,ago
education,advice
education,would
education,give
education,ten
education,twenty
education,year
education,ago
uh,,advice
uh,,would
uh,,give
uh,,ten
uh,,twenty
uh,,year
uh,,ago
better,advice
better,would
better,give
better,ten
better,twenty
better,year
better,ago
job,,advice
job,,would
job,,give
job,,ten
job,,twenty
job,,year
job,,ago
just,,advice
just,,would
just,,give
just,,ten
just,,twenty
just,,year
just,,ago
time,advice
time,would
time,give
time,ten
time,twenty
time,year
time,ago
thing,advice
thing,would
thing,give
thing,ten
thing,twenty
thing,year
thing,ago
*laughter*,advice
*laughter*,would
*laughter*,give
*laughter*,ten
*laughter*,twenty
*laughter*,year
*laughter*,ago
advice,go
advice,school
advice,stay
advice,school,
advice,go
advice,school
advice,learn
advice,*laughter*
would,go
would,school
would,stay
would,school,
would,go
would,school
would,learn
would,*laughter*
give,go
give,school
give,stay
give,school,
give,go
give,school
give,learn
give,*laughter*
ten,go
ten,school
ten,stay
ten,school,
ten,go
ten,school
ten,learn
ten,*laughter*
twenty,go
twenty,school
twenty,stay
twenty,school,
twenty,go
twenty,school
twenty,learn
twenty,*laughter*
year,go
year,school
year,stay
year,school,
year,go
year,school
year,learn
year,*laughter*
ago,go
ago,school
ago,stay
ago,school,
ago,go
ago,school
ago,learn
ago,*laughter*
go,would
go,best
go,friend
go,describe
school,would
school,best
school,friend
school,describe
stay,would
stay,best
stay,friend
stay,describe
school,,would
school,,best
school,,friend
school,,describe
go,would
go,best
go,friend
go,describe
school,would
school,best
school,friend
school,describe
learn,would
learn,best
learn,friend
learn,describe
*laughter*,would
*laughter*,best
*laughter*,friend
*laughter*,describe
would,guess
would,uh,
would,know,
would,cool
would,person
would,guess
best,guess
best,uh,
best,know,
best,cool
best,person
best,guess
friend,guess
friend,uh,
friend,know,
friend,cool
friend,person
friend,guess
describe,guess
describe,uh,
describe,know,
describe,cool
describe,person
describe,guess
guess,would
guess,say
guess,best
guess,quality
uh,,would
uh,,say
uh,,best
uh,,quality
know,,would
know,,say
know,,best
know,,quality
cool,would
cool,say
cool,best
cool,quality
person,would
person,say
person,best
person,quality
guess,would
guess,say
guess,best
guess,quality
would,like
would,joke
would,fun
would,*sigh*,
would,like
would,good
would,time
say,like
say,joke
say,fun
say,*sigh*,
say,like
say,good
say,time
best,like
best,joke
best,fun
best,*sigh*,
best,like
best,good
best,time
quality,like
quality,joke
quality,fun
quality,*sigh*,
quality,like
quality,good
quality,time
like,thing
like,make
like,really
like,mad
joke,thing
joke,make
joke,really
joke,mad
fun,thing
fun,make
fun,really
fun,mad
*sigh*,,thing
*sigh*,,make
*sigh*,,really
*sigh*,,mad
like,thing
like,make
like,really
like,mad
good,thing
good,make
good,really
good,mad
time,thing
time,make
time,really
time,mad
thing,thing
thing,go
thing,way
thing,just,
thing,really
thing,make
thing,mad
thing,*laughter*
make,thing
make,go
make,way
make,just,
make,really
make,make
make,mad
make,*laughter*
really,thing
really,go
really,way
really,just,
really,really
really,make
really,mad
really,*laughter*
mad,thing
mad,go
mad,way
mad,just,
mad,really
mad,make
mad,mad
mad,*laughter*
thing,give
thing,example
go,give
go,example
way,give
way,example
just,,give
just,,example
really,give
really,example
make,give
make,example
mad,give
mad,example
*laughter*,give
*laughter*,example
give,well
give,got
give,wanna
give,something,
give,can't,
give,uh,
give,piss
example,well
example,got
example,wanna
example,something,
example,can't,
example,uh,
example,piss
well,uh
well,huh
got,uh
got,huh
wanna,uh
wanna,huh
something,,uh
something,,huh
can't,,uh
can't,,huh
uh,,uh
uh,,huh
piss,uh
piss,huh
uh,matter
uh,*laughter*
uh,problem
uh,*laughter*
huh,matter
huh,*laughter*
huh,problem
huh,*laughter*
matter,right
*laughter*,right
problem,right
*laughter*,right
right,whatever
right,want
right,*sigh*,
right,hinders
whatever,who's
whatever,someone
whatever,that's
whatever,positive
whatever,influence
whatever,life
want,who's
want,someone
want,that's
want,positive
want,influence
want,life
*sigh*,,who's
*sigh*,,someone
*sigh*,,that's
*sigh*,,positive
*sigh*,,influence
*sigh*,,life
hinders,who's
hinders,someone
hinders,that's
hinders,positive
hinders,influence
hinders,life
who's,positive
who's,sister
who's,*sigh*
someone,positive
someone,sister
someone,*sigh*
that's,positive
that's,sister
that's,*sigh*
positive,positive
positive,sister
positive,*sigh*
influence,positive
influence,sister
influence,*sigh*
life,positive
life,sister
life,*sigh*
positive,tell
sister,tell
*sigh*,tell
tell,yeah
tell,well
tell,sister
tell,good
tell,person
yeah,proud
yeah,life
well,proud
well,life
sister,proud
sister,life
good,proud
good,life
person,proud
person,life
proud,proud
proud,still
proud,alive
life,proud
life,still
life,alive
proud,proud
proud,still
proud,alive
still,proud
still,still
still,alive
alive,proud
alive,still
alive,alive
