today,kind
basic,what's
basic,dream
basic,job
stuff,what's
stuff,dream
stuff,job
what's,um,
what's,know,
what's,my,
what's,dream
what's,job,
what's,know
what's,um,
what's,interior
what's,designer
what's,star
dream,um,
dream,know,
dream,my,
dream,dream
dream,job,
dream,know
dream,um,
dream,interior
dream,designer
dream,star
job,um,
job,know,
job,my,
job,dream
job,job,
job,know
job,um,
job,interior
job,designer
job,star
um,,really
know,,really
my,,really
dream,really
job,,really
know,really
um,,really
interior,really
designer,really
star,really
really,yep
well,consider
well,shy
well,outgoing
because,,consider
because,,shy
because,,outgoing
enough,consider
enough,shy
enough,outgoing
money,consider
money,shy
money,outgoing
get,consider
get,shy
get,outgoing
furniture,consider
furniture,shy
furniture,outgoing
get,consider
get,shy
get,outgoing
keep,consider
keep,shy
keep,outgoing
free,consider
free,shy
free,outgoing
furniture,consider
furniture,shy
furniture,outgoing
consider,outgoing
shy,outgoing
outgoing,outgoing
outgoing,sometimes
outgoing,i'm
outgoing,feeling
outgoing,tense
outgoing,turn
outgoing,fish
outgoing,tank
outgoing,screensaver
outgoing,hey
outgoing,know
outgoing,hawaii
outgoing,best
outgoing,i've
outgoing,got
outgoing,relax
sometimes,um
sometimes,watch
sometimes,tv
sometimes,funny
sometimes,show
sometimes,tv
sometimes,show
i'm,um
i'm,watch
i'm,tv
i'm,funny
i'm,show
i'm,tv
i'm,show
feeling,um
feeling,watch
feeling,tv
feeling,funny
feeling,show
feeling,tv
feeling,show
tense,um
tense,watch
tense,tv
tense,funny
tense,show
tense,tv
tense,show
turn,um
turn,watch
turn,tv
turn,funny
turn,show
turn,tv
turn,show
fish,um
fish,watch
fish,tv
fish,funny
fish,show
fish,tv
fish,show
tank,um
tank,watch
tank,tv
tank,funny
tank,show
tank,tv
tank,show
screensaver,um
screensaver,watch
screensaver,tv
screensaver,funny
screensaver,show
screensaver,tv
screensaver,show
hey,um
hey,watch
hey,tv
hey,funny
hey,show
hey,tv
hey,show
know,um
know,watch
know,tv
know,funny
know,show
know,tv
know,show
hawaii,um
hawaii,watch
hawaii,tv
hawaii,funny
hawaii,show
hawaii,tv
hawaii,show
best,um
best,watch
best,tv
best,funny
best,show
best,tv
best,show
i've,um
i've,watch
i've,tv
i've,funny
i've,show
i've,tv
i've,show
got,um
got,watch
got,tv
got,funny
got,show
got,tv
got,show
relax,um
relax,watch
relax,tv
relax,funny
relax,show
relax,tv
relax,show
um,like
watch,like
tv,like
funny,like
show,like
tv,like
show,like
like,um
like,sometimes
like,big
like,bang
like,theory,
like,sometimes
like,like
like,funny
like,movie
like,tv
um,controlling
um,temper
sometimes,controlling
sometimes,temper
big,controlling
big,temper
bang,controlling
bang,temper
theory,,controlling
theory,,temper
sometimes,controlling
sometimes,temper
like,controlling
like,temper
funny,controlling
funny,temper
movie,controlling
movie,temper
tv,controlling
tv,temper
controlling,pretty
controlling,good
temper,pretty
temper,good
pretty,last
pretty,time
pretty,argued
pretty,someone
good,last
good,time
good,argued
good,someone
last,um
last,used
last,live
last,two
last,week
last,ago
last,move
last,out,
last,um,
last,moved
last,told
last,marijuana
last,marijuana
last,plant
last,one
last,thing
last,wanna
last,around,
last,move
last,out,
last,'cause
last,stuff
last,living
last,room
last,yeah
last,yeah
time,um
time,used
time,live
time,two
time,week
time,ago
time,move
time,out,
time,um,
time,moved
time,told
time,marijuana
time,marijuana
time,plant
time,one
time,thing
time,wanna
time,around,
time,move
time,out,
time,'cause
time,stuff
time,living
time,room
time,yeah
time,yeah
argued,um
argued,used
argued,live
argued,two
argued,week
argued,ago
argued,move
argued,out,
argued,um,
argued,moved
argued,told
argued,marijuana
argued,marijuana
argued,plant
argued,one
argued,thing
argued,wanna
argued,around,
argued,move
argued,out,
argued,'cause
argued,stuff
argued,living
argued,room
argued,yeah
argued,yeah
someone,um
someone,used
someone,live
someone,two
someone,week
someone,ago
someone,move
someone,out,
someone,um,
someone,moved
someone,told
someone,marijuana
someone,marijuana
someone,plant
someone,one
someone,thing
someone,wanna
someone,around,
someone,move
someone,out,
someone,'cause
someone,stuff
someone,living
someone,room
someone,yeah
someone,yeah
um,suck
used,suck
live,suck
two,suck
week,suck
ago,suck
move,suck
out,,suck
um,,suck
moved,suck
told,suck
marijuana,suck
marijuana,suck
plant,suck
one,suck
thing,suck
wanna,suck
around,,suck
move,suck
out,,suck
'cause,suck
stuff,suck
living,suck
room,suck
yeah,suck
yeah,suck
suck,*laughter*
*laughter*,tell
*laughter*,situation
*laughter*,wish
*laughter*,handled
*laughter*,differently
tell,um,
tell,know
tell,good
tell,question,
tell,um,
tell,probably,
tell,*laughter*
tell,probably
tell,probably
tell,know
tell,probably
tell,ex
tell,boyfriend
tell,broke
situation,um,
situation,know
situation,good
situation,question,
situation,um,
situation,probably,
situation,*laughter*
situation,probably
situation,probably
situation,know
situation,probably
situation,ex
situation,boyfriend
situation,broke
wish,um,
wish,know
wish,good
wish,question,
wish,um,
wish,probably,
wish,*laughter*
wish,probably
wish,probably
wish,know
wish,probably
wish,ex
wish,boyfriend
wish,broke
handled,um,
handled,know
handled,good
handled,question,
handled,um,
handled,probably,
handled,*laughter*
handled,probably
handled,probably
handled,know
handled,probably
handled,ex
handled,boyfriend
handled,broke
differently,um,
differently,know
differently,good
differently,question,
differently,um,
differently,probably,
differently,*laughter*
differently,probably
differently,probably
differently,know
differently,probably
differently,ex
differently,boyfriend
differently,broke
um,,tell
know,tell
good,tell
question,,tell
um,,tell
probably,,tell
*laughter*,tell
probably,tell
probably,tell
know,tell
probably,tell
ex,tell
boyfriend,tell
broke,tell
tell,yeah
tell,that's
tell,past
tell,i'm
tell,jerk
tell,anyway
yeah,tell
yeah,hardest
yeah,decision
yeah,ever
yeah,make
that's,tell
that's,hardest
that's,decision
that's,ever
that's,make
past,tell
past,hardest
past,decision
past,ever
past,make
i'm,tell
i'm,hardest
i'm,decision
i'm,ever
i'm,make
jerk,tell
jerk,hardest
jerk,decision
jerk,ever
jerk,make
anyway,tell
anyway,hardest
anyway,decision
anyway,ever
anyway,make
tell,hardest
tell,decision,
tell,*sigh*,
tell,leaving
tell,home
hardest,hardest
hardest,decision,
hardest,*sigh*,
hardest,leaving
hardest,home
decision,hardest
decision,decision,
decision,*sigh*,
decision,leaving
decision,home
ever,hardest
ever,decision,
ever,*sigh*,
ever,leaving
ever,home
make,hardest
make,decision,
make,*sigh*,
make,leaving
make,home
hardest,tell
decision,,tell
*sigh*,,tell
leaving,tell
home,tell
tell,well
tell,'cause
tell,better
tell,life
tell,california
tell,miss
tell,home
well,uncomfortable
well,talk
'cause,uncomfortable
'cause,talk
better,uncomfortable
better,talk
life,uncomfortable
life,talk
california,uncomfortable
california,talk
miss,uncomfortable
miss,talk
home,uncomfortable
home,talk
uncomfortable,yep
talk,yep
yep,okay
okay,easy
okay,get
okay,good
okay,night's
okay,sleep
easy,um
easy,roommate
easy,tv
easy,loud
easy,pretty
easy,good
get,um
get,roommate
get,tv
get,loud
get,pretty
get,good
good,um
good,roommate
good,tv
good,loud
good,pretty
good,good
night's,um
night's,roommate
night's,tv
night's,loud
night's,pretty
night's,good
sleep,um
sleep,roommate
sleep,tv
sleep,loud
sleep,pretty
sleep,good
um,like
um,sleep
um,well
roommate,like
roommate,sleep
roommate,well
tv,like
tv,sleep
tv,well
loud,like
loud,sleep
loud,well
pretty,like
pretty,sleep
pretty,well
good,like
good,sleep
good,well
like,,
like,tired,
like,i'm
like,lazier
like,day
sleep,,
sleep,tired,
sleep,i'm
sleep,lazier
sleep,day
well,,
well,tired,
well,i'm
well,lazier
well,day
,,feeling
,,lately
tired,,feeling
tired,,lately
i'm,feeling
i'm,lately
lazier,feeling
lazier,lately
day,feeling
day,lately
feeling,,
feeling,uh
feeling,frustrated
lately,,
lately,uh
lately,frustrated
um,,noticed
um,,change
um,,behavior
um,,thought
um,,lately
i'm,noticed
i'm,change
i'm,behavior
i'm,thought
i'm,lately
poor,noticed
poor,change
poor,behavior
poor,thought
poor,lately
wanna,noticed
wanna,change
wanna,behavior
wanna,thought
wanna,lately
noticed,,
noticed,um,
noticed,i'm
noticed,sad
change,,
change,um,
change,i'm
change,sad
behavior,,
behavior,um,
behavior,i'm
behavior,sad
thought,,
thought,um,
thought,i'm
thought,sad
lately,,
lately,um,
lately,i'm
lately,sad
,,diagnosed
,,depression
um,,diagnosed
um,,depression
i'm,diagnosed
i'm,depression
sad,diagnosed
sad,depression
tell,,
tell,oh
tell,wow,
tell,um,
tell,good
tell,like
tell,god
tell,two
tell,year
last,,
last,oh
last,wow,
last,um,
last,good
last,like
last,god
last,two
last,year
time,,
time,oh
time,wow,
time,um,
time,good
time,like
time,god
time,two
time,year
felt,,
felt,oh
felt,wow,
felt,um,
felt,good
felt,like
felt,god
felt,two
felt,year
really,,
really,oh
really,wow,
really,um,
really,good
really,like
really,god
really,two
really,year
happy,,
happy,oh
happy,wow,
happy,um,
happy,good
happy,like
happy,god
happy,two
happy,year
,,tell
oh,tell
wow,,tell
um,,tell
good,tell
like,tell
god,tell
two,tell
year,tell
tell,um,
tell,money
tell,problems,
tell,fine,
tell,um,
tell,yeah
um,,tell
um,,something
um,,recently
um,,really
um,,enjoyed
money,tell
money,something
money,recently
money,really
money,enjoyed
problems,,tell
problems,,something
problems,,recently
problems,,really
problems,,enjoyed
fine,,tell
fine,,something
fine,,recently
fine,,really
fine,,enjoyed
um,,tell
um,,something
um,,recently
um,,really
um,,enjoyed
yeah,tell
yeah,something
yeah,recently
yeah,really
yeah,enjoyed
tell,oh,
tell,uh,
tell,um,
tell,cat
tell,home
tell,california
tell,they're
tell,playing
tell,outside
something,oh,
something,uh,
something,um,
something,cat
something,home
something,california
something,they're
something,playing
something,outside
recently,oh,
recently,uh,
recently,um,
recently,cat
recently,home
recently,california
recently,they're
recently,playing
recently,outside
really,oh,
really,uh,
really,um,
really,cat
really,home
really,california
really,they're
really,playing
really,outside
enjoyed,oh,
enjoyed,uh,
enjoyed,um,
enjoyed,cat
enjoyed,home
enjoyed,california
enjoyed,they're
enjoyed,playing
enjoyed,outside
oh,,tell
oh,,spend
oh,,ideal
oh,,weekend
uh,,tell
uh,,spend
uh,,ideal
uh,,weekend
um,,tell
um,,spend
um,,ideal
um,,weekend
cat,tell
cat,spend
cat,ideal
cat,weekend
home,tell
home,spend
home,ideal
home,weekend
california,tell
california,spend
california,ideal
california,weekend
they're,tell
they're,spend
they're,ideal
they're,weekend
playing,tell
playing,spend
playing,ideal
playing,weekend
outside,tell
outside,spend
outside,ideal
outside,weekend
tell,ideal
tell,weekend
tell,would
tell,nice
tell,um
tell,beach
tell,eating,
tell,nice
tell,restaurant,
spend,ideal
spend,weekend
spend,would
spend,nice
spend,um
spend,beach
spend,eating,
spend,nice
spend,restaurant,
ideal,ideal
ideal,weekend
ideal,would
ideal,nice
ideal,um
ideal,beach
ideal,eating,
ideal,nice
ideal,restaurant,
weekend,ideal
weekend,weekend
weekend,would
weekend,nice
weekend,um
weekend,beach
weekend,eating,
weekend,nice
weekend,restaurant,
ideal,anything
ideal,regret
weekend,anything
weekend,regret
would,anything
would,regret
nice,anything
nice,regret
um,anything
um,regret
beach,anything
beach,regret
eating,,anything
eating,,regret
nice,anything
nice,regret
restaurant,,anything
restaurant,,regret
anything,no,
regret,no,
no,,advice
no,,would
no,,give
no,,ten
no,,twenty
no,,year
no,,ago
advice,um,
advice,spend
advice,much
advice,money,
advice,need
advice,future
would,um,
would,spend
would,much
would,money,
would,need
would,future
give,um,
give,spend
give,much
give,money,
give,need
give,future
ten,um,
ten,spend
ten,much
ten,money,
ten,need
ten,future
twenty,um,
twenty,spend
twenty,much
twenty,money,
twenty,need
twenty,future
year,um,
year,spend
year,much
year,money,
year,need
year,future
ago,um,
ago,spend
ago,much
ago,money,
ago,need
ago,future
um,,could
um,,done
um,,anything
um,,avoid
spend,could
spend,done
spend,anything
spend,avoid
much,could
much,done
much,anything
much,avoid
money,,could
money,,done
money,,anything
money,,avoid
need,could
need,done
need,anything
need,avoid
future,could
future,done
future,anything
future,avoid
could,yeah,
could,save
could,money
done,yeah,
done,save
done,money
anything,yeah,
anything,save
anything,money
avoid,yeah,
avoid,save
avoid,money
yeah,,thing
yeah,,wish
yeah,,could
yeah,,change
save,thing
save,wish
save,could
save,change
money,thing
money,wish
money,could
money,change
thing,um
thing,bank
thing,account
wish,um
wish,bank
wish,account
could,um
could,bank
could,account
change,um
change,bank
change,account
um,would
um,best
um,friend
um,describe
bank,would
bank,best
bank,friend
bank,describe
account,would
account,best
account,friend
account,describe
would,um
would,nice
would,person
best,um
best,nice
best,person
friend,um
friend,nice
friend,person
describe,um
describe,nice
describe,person
um,young
nice,young
person,young
young,*laughter*
young,*laughter*
*laughter*,proud
*laughter*,life
*laughter*,proud
*laughter*,life
proud,,
proud,um,
proud,um
proud,i'm
proud,person
proud,know,
proud,uh,
proud,um,
proud,persevere
life,,
life,um,
life,um
life,i'm
life,person
life,know,
life,uh,
life,um,
life,persevere
,,tell
,,relationship
,,family
um,,tell
um,,relationship
um,,family
um,tell
um,relationship
um,family
i'm,tell
i'm,relationship
i'm,family
person,tell
person,relationship
person,family
know,,tell
know,,relationship
know,,family
uh,,tell
uh,,relationship
uh,,family
um,,tell
um,,relationship
um,,family
persevere,tell
persevere,relationship
persevere,family
tell,uh
tell,i'd
tell,rather
relationship,uh
relationship,i'd
relationship,rather
family,uh
family,i'd
family,rather
uh,who's
uh,someone
uh,that's
uh,positive
uh,influence
uh,life
i'd,who's
i'd,someone
i'd,that's
i'd,positive
i'd,influence
i'd,life
rather,who's
rather,someone
rather,that's
rather,positive
rather,influence
rather,life
who's,uh
who's,man
who's,year
who's,ago,
who's,like
who's,mentor
who's,um,
who's,taught
who's,thing
someone,uh
someone,man
someone,year
someone,ago,
someone,like
someone,mentor
someone,um,
someone,taught
someone,thing
that's,uh
that's,man
that's,year
that's,ago,
that's,like
that's,mentor
that's,um,
that's,taught
that's,thing
positive,uh
positive,man
positive,year
positive,ago,
positive,like
positive,mentor
positive,um,
positive,taught
positive,thing
influence,uh
influence,man
influence,year
influence,ago,
influence,like
influence,mentor
influence,um,
influence,taught
influence,thing
life,uh
life,man
life,year
life,ago,
life,like
life,mentor
life,um,
life,taught
life,thing
uh,like
man,like
year,like
ago,,like
like,like
mentor,like
um,,like
taught,like
thing,like
like,never
like,complain,
like,thankful
like,everything
never,would
never,say
never,best
never,quality
complain,,would
complain,,say
complain,,best
complain,,quality
thankful,would
thankful,say
thankful,best
thankful,quality
everything,would
everything,say
everything,best
everything,quality
would,um,
would,eye
would,people
would,say
would,pretty
would,eyes,
would,um,
would,like
would,dress
say,um,
say,eye
say,people
say,say
say,pretty
say,eyes,
say,um,
say,like
say,dress
best,um,
best,eye
best,people
best,say
best,pretty
best,eyes,
best,um,
best,like
best,dress
quality,um,
quality,eye
quality,people
quality,say
quality,pretty
quality,eyes,
quality,um,
quality,like
quality,dress
um,,thing
um,,like
um,,fun
eye,thing
eye,like
eye,fun
people,thing
people,like
people,fun
say,thing
say,like
say,fun
pretty,thing
pretty,like
pretty,fun
eyes,,thing
eyes,,like
eyes,,fun
um,,thing
um,,like
um,,fun
like,thing
like,like
like,fun
dress,thing
dress,like
dress,fun
thing,,
thing,fun,
thing,like
thing,try
thing,surfing
thing,go
thing,shopping
thing,maybe
thing,go
thing,art
thing,gallery
like,,
like,fun,
like,like
like,try
like,surfing
like,go
like,shopping
like,maybe
like,go
like,art
like,gallery
fun,,
fun,fun,
fun,like
fun,try
fun,surfing
fun,go
fun,shopping
fun,maybe
fun,go
fun,art
fun,gallery
,,that's
,,good
fun,,that's
fun,,good
like,that's
like,good
try,that's
try,good
surfing,that's
surfing,good
go,that's
go,good
shopping,that's
shopping,good
maybe,that's
maybe,good
go,that's
go,good
art,that's
art,good
gallery,that's
gallery,good
