today,fine
best,remember
friend,really
friend,best
friend,friend,
friend,introverted
friend,remember
describe,really
describe,best
describe,friend,
describe,introverted
describe,remember
really,would
really,say
really,best
really,quality
best,would
best,say
best,best
best,quality
friend,,would
friend,,say
friend,,best
friend,,quality
introverted,would
introverted,say
introverted,best
introverted,quality
remember,would
remember,say
remember,best
remember,quality
would,i'm
would,biased
would,obviously,
would,are,
would,i'm
would,really
would,good
would,math,
would,i'm
would,really
would,sure
would,can't
would,saying
would,can't
would,get
would,better
would,math
would,thing
would,is,
would,get
would,reach
would,certain
would,confidence
would,matter
would,need
would,learn
would,math
would,always
would,figure
would,um
would,patient
would,think,
would,disciplined
would,spend
would,spend
would,many
would,hour
would,many
would,many
would,many
would,hour
would,reading
would,book
would,might
would,important
would,might
would,important
would,anyway,
would,type
would,thing
say,i'm
say,biased
say,obviously,
say,are,
say,i'm
say,really
say,good
say,math,
say,i'm
say,really
say,sure
say,can't
say,saying
say,can't
say,get
say,better
say,math
say,thing
say,is,
say,get
say,reach
say,certain
say,confidence
say,matter
say,need
say,learn
say,math
say,always
say,figure
say,um
say,patient
say,think,
say,disciplined
say,spend
say,spend
say,many
say,hour
say,many
say,many
say,many
say,hour
say,reading
say,book
say,might
say,important
say,might
say,important
say,anyway,
say,type
say,thing
best,i'm
best,biased
best,obviously,
best,are,
best,i'm
best,really
best,good
best,math,
best,i'm
best,really
best,sure
best,can't
best,saying
best,can't
best,get
best,better
best,math
best,thing
best,is,
best,get
best,reach
best,certain
best,confidence
best,matter
best,need
best,learn
best,math
best,always
best,figure
best,um
best,patient
best,think,
best,disciplined
best,spend
best,spend
best,many
best,hour
best,many
best,many
best,many
best,hour
best,reading
best,book
best,might
best,important
best,might
best,important
best,anyway,
best,type
best,thing
quality,i'm
quality,biased
quality,obviously,
quality,are,
quality,i'm
quality,really
quality,good
quality,math,
quality,i'm
quality,really
quality,sure
quality,can't
quality,saying
quality,can't
quality,get
quality,better
quality,math
quality,thing
quality,is,
quality,get
quality,reach
quality,certain
quality,confidence
quality,matter
quality,need
quality,learn
quality,math
quality,always
quality,figure
quality,um
quality,patient
quality,think,
quality,disciplined
quality,spend
quality,spend
quality,many
quality,hour
quality,many
quality,many
quality,many
quality,hour
quality,reading
quality,book
quality,might
quality,important
quality,might
quality,important
quality,anyway,
quality,type
quality,thing
i'm,thing
i'm,usually
i'm,put
i'm,good
i'm,mood
biased,thing
biased,usually
biased,put
biased,good
biased,mood
obviously,,thing
obviously,,usually
obviously,,put
obviously,,good
obviously,,mood
are,,thing
are,,usually
are,,put
are,,good
are,,mood
i'm,thing
i'm,usually
i'm,put
i'm,good
i'm,mood
really,thing
really,usually
really,put
really,good
really,mood
good,thing
good,usually
good,put
good,good
good,mood
math,,thing
math,,usually
math,,put
math,,good
math,,mood
i'm,thing
i'm,usually
i'm,put
i'm,good
i'm,mood
really,thing
really,usually
really,put
really,good
really,mood
sure,thing
sure,usually
sure,put
sure,good
sure,mood
can't,thing
can't,usually
can't,put
can't,good
can't,mood
saying,thing
saying,usually
saying,put
saying,good
saying,mood
can't,thing
can't,usually
can't,put
can't,good
can't,mood
get,thing
get,usually
get,put
get,good
get,mood
better,thing
better,usually
better,put
better,good
better,mood
math,thing
math,usually
math,put
math,good
math,mood
thing,thing
thing,usually
thing,put
thing,good
thing,mood
is,,thing
is,,usually
is,,put
is,,good
is,,mood
get,thing
get,usually
get,put
get,good
get,mood
reach,thing
reach,usually
reach,put
reach,good
reach,mood
certain,thing
certain,usually
certain,put
certain,good
certain,mood
confidence,thing
confidence,usually
confidence,put
confidence,good
confidence,mood
matter,thing
matter,usually
matter,put
matter,good
matter,mood
need,thing
need,usually
need,put
need,good
need,mood
learn,thing
learn,usually
learn,put
learn,good
learn,mood
math,thing
math,usually
math,put
math,good
math,mood
always,thing
always,usually
always,put
always,good
always,mood
figure,thing
figure,usually
figure,put
figure,good
figure,mood
um,thing
um,usually
um,put
um,good
um,mood
patient,thing
patient,usually
patient,put
patient,good
patient,mood
think,,thing
think,,usually
think,,put
think,,good
think,,mood
disciplined,thing
disciplined,usually
disciplined,put
disciplined,good
disciplined,mood
spend,thing
spend,usually
spend,put
spend,good
spend,mood
spend,thing
spend,usually
spend,put
spend,good
spend,mood
many,thing
many,usually
many,put
many,good
many,mood
hour,thing
hour,usually
hour,put
hour,good
hour,mood
many,thing
many,usually
many,put
many,good
many,mood
many,thing
many,usually
many,put
many,good
many,mood
many,thing
many,usually
many,put
many,good
many,mood
hour,thing
hour,usually
hour,put
hour,good
hour,mood
reading,thing
reading,usually
reading,put
reading,good
reading,mood
book,thing
book,usually
book,put
book,good
book,mood
might,thing
might,usually
might,put
might,good
might,mood
important,thing
important,usually
important,put
important,good
important,mood
might,thing
might,usually
might,put
might,good
might,mood
important,thing
important,usually
important,put
important,good
important,mood
anyway,,thing
anyway,,usually
anyway,,put
anyway,,good
anyway,,mood
type,thing
type,usually
type,put
type,good
type,mood
thing,thing
thing,usually
thing,put
thing,good
thing,mood
thing,good
thing,workout,
thing,well
thing,video
thing,game
thing,small
thing,little
thing,thing
thing,like
thing,that,
thing,um,
thing,what's
thing,really
thing,happy
thing,research
thing,type
thing,thing
thing,mathematical
thing,physic
thing,type
thing,thing
thing,go
thing,well
thing,must
thing,put
thing,mood
thing,put
thing,good
thing,mood
usually,good
usually,workout,
usually,well
usually,video
usually,game
usually,small
usually,little
usually,thing
usually,like
usually,that,
usually,um,
usually,what's
usually,really
usually,happy
usually,research
usually,type
usually,thing
usually,mathematical
usually,physic
usually,type
usually,thing
usually,go
usually,well
usually,must
usually,put
usually,mood
usually,put
usually,good
usually,mood
put,good
put,workout,
put,well
put,video
put,game
put,small
put,little
put,thing
put,like
put,that,
put,um,
put,what's
put,really
put,happy
put,research
put,type
put,thing
put,mathematical
put,physic
put,type
put,thing
put,go
put,well
put,must
put,put
put,mood
put,put
put,good
put,mood
good,good
good,workout,
good,well
good,video
good,game
good,small
good,little
good,thing
good,like
good,that,
good,um,
good,what's
good,really
good,happy
good,research
good,type
good,thing
good,mathematical
good,physic
good,type
good,thing
good,go
good,well
good,must
good,put
good,mood
good,put
good,good
good,mood
mood,good
mood,workout,
mood,well
mood,video
mood,game
mood,small
mood,little
mood,thing
mood,like
mood,that,
mood,um,
mood,what's
mood,really
mood,happy
mood,research
mood,type
mood,thing
mood,mathematical
mood,physic
mood,type
mood,thing
mood,go
mood,well
mood,must
mood,put
mood,mood
mood,put
mood,good
mood,mood
good,nice
workout,,nice
well,nice
video,nice
game,nice
small,nice
little,nice
thing,nice
like,nice
that,,nice
um,,nice
what's,nice
really,nice
happy,nice
research,nice
type,nice
thing,nice
mathematical,nice
physic,nice
type,nice
thing,nice
go,nice
well,nice
must,nice
put,nice
mood,nice
put,nice
good,nice
mood,nice
nice,thank
thank,proud
thank,life
proud,right
proud,now,
proud,fact
proud,that,
proud,research
proud,make
proud,far,
proud,research
proud,wise
proud,that's
proud,all,
proud,that's
life,right
life,now,
life,fact
life,that,
life,research
life,make
life,far,
life,research
life,wise
life,that's
life,all,
life,that's
right,tell
now,,tell
fact,tell
that,,tell
research,tell
make,tell
far,,tell
research,tell
wise,tell
that's,tell
all,,tell
that's,tell
tell,interesting
tell,um,
tell,start
tell,school,
tell,read
tell,einstein
tell,thing
tell,like
tell,he's
tell,general
tell,hero
tell,particle
tell,physic
tell,idea
tell,know
tell,complicated
tell,thing
tell,like
tell,quantum
tell,mechanics,
tell,and,
tell,still
tell,realized
tell,interested
tell,sure
tell,actually
tell,make
tell,it,
tell,eventually
tell,step
tell,lot
tell,time
tell,go
tell,wish
tell,you,
tell,time
tell,go
tell,get
tell,closer
tell,closer
tell,eventually
tell,make
tell,goal
tell,eventually
tell,realize
tell,good
tell,einstein
tell,research
tell,physic
tell,add
tell,mass
tell,knowledge
tell,science
tell,that's
tell,impressive
tell,see
tell,kid
interesting,yeah
um,,yeah
start,yeah
school,,yeah
read,yeah
einstein,yeah
thing,yeah
like,yeah
he's,yeah
general,yeah
hero,yeah
particle,yeah
physic,yeah
idea,yeah
know,yeah
complicated,yeah
thing,yeah
like,yeah
quantum,yeah
mechanics,,yeah
and,,yeah
still,yeah
realized,yeah
interested,yeah
sure,yeah
actually,yeah
make,yeah
it,,yeah
eventually,yeah
step,yeah
lot,yeah
time,yeah
go,yeah
wish,yeah
you,,yeah
time,yeah
go,yeah
get,yeah
closer,yeah
closer,yeah
eventually,yeah
make,yeah
goal,yeah
eventually,yeah
realize,yeah
good,yeah
einstein,yeah
research,yeah
physic,yeah
add,yeah
mass,yeah
knowledge,yeah
science,yeah
that's,yeah
impressive,yeah
see,yeah
kid,yeah
yeah,okay
okay,last
okay,time
okay,felt
okay,really
okay,happy
last,um,
last,week
last,ago
last,got
last,good
last,grade
last,class
time,um,
time,week
time,ago
time,got
time,good
time,grade
time,class
felt,um,
felt,week
felt,ago
felt,got
felt,good
felt,grade
felt,class
really,um,
really,week
really,ago
really,got
really,good
really,grade
really,class
happy,um,
happy,week
happy,ago
happy,got
happy,good
happy,grade
happy,class
um,,cool
week,cool
ago,cool
got,cool
good,cool
grade,cool
class,cool
cool,thank
thank,ever
thank,served
thank,military
ever,yes
ever,briefly,
ever,many
ever,year
ever,ago
ever,yes
served,yes
served,briefly,
served,many
served,year
served,ago
served,yes
military,yes
military,briefly,
military,many
military,year
military,ago
military,yes
yes,why'd
yes,decide
yes,enlist
yes,military
briefly,,why'd
briefly,,decide
briefly,,enlist
briefly,,military
many,why'd
many,decide
many,enlist
many,military
year,why'd
year,decide
year,enlist
year,military
ago,why'd
ago,decide
ago,enlist
ago,military
yes,why'd
yes,decide
yes,enlist
yes,military
why'd,know
why'd,always
why'd,growing
why'd,always
why'd,thought
why'd,always
why'd,thought
why'd,dream
why'd,kid
why'd,that's
why'd,went
decide,know
decide,always
decide,growing
decide,always
decide,thought
decide,always
decide,thought
decide,dream
decide,kid
decide,that's
decide,went
enlist,know
enlist,always
enlist,growing
enlist,always
enlist,thought
enlist,always
enlist,thought
enlist,dream
enlist,kid
enlist,that's
enlist,went
military,know
military,always
military,growing
military,always
military,thought
military,always
military,thought
military,dream
military,kid
military,that's
military,went
know,old
know,joined
know,military
always,old
always,joined
always,military
growing,old
growing,joined
growing,military
always,old
always,joined
always,military
thought,old
thought,joined
thought,military
always,old
always,joined
always,military
thought,old
thought,joined
thought,military
dream,old
dream,joined
dream,military
kid,old
kid,joined
kid,military
that's,old
that's,joined
that's,military
went,old
went,joined
went,military
old,um
old,national
old,guard
old,think
old,eighteen
old,nineteen,
old,got
old,commissioned
old,twenty
old,twenty
old,one
old,year
old,left
old,twenty
old,twenty
old,two
joined,um
joined,national
joined,guard
joined,think
joined,eighteen
joined,nineteen,
joined,got
joined,commissioned
joined,twenty
joined,twenty
joined,one
joined,year
joined,left
joined,twenty
joined,twenty
joined,two
military,um
military,national
military,guard
military,think
military,eighteen
military,nineteen,
military,got
military,commissioned
military,twenty
military,twenty
military,one
military,year
military,left
military,twenty
military,twenty
military,two
um,young
national,young
guard,young
think,young
eighteen,young
nineteen,,young
got,young
commissioned,young
twenty,young
twenty,young
one,young
year,young
left,young
twenty,young
twenty,young
two,young
young,yes,
young,really
yes,,serving
yes,,military
yes,,change
really,serving
really,military
really,change
serving,think
serving,think
serving,something
serving,grew
serving,something
serving,something
serving,grew
serving,already
serving,expecting
serving,change
serving,much
military,think
military,think
military,something
military,grew
military,something
military,something
military,grew
military,already
military,expecting
military,change
military,much
change,think
change,think
change,something
change,grew
change,something
change,something
change,grew
change,already
change,expecting
change,change
change,much
think,military
think,military
something,military
grew,military
something,military
something,military
grew,military
already,military
expecting,military
change,military
much,military
military,graduate
military,school,
military,physic
graduate,ever
graduate,diagnosed
graduate,ptsd
school,,ever
school,,diagnosed
school,,ptsd
physic,ever
physic,diagnosed
physic,ptsd
diagnosed,nope
depression,nope
nope,easy
nope,get
nope,good
nope,night's
nope,sleep
easy,depends
easy,workout
easy,really
easy,hard
easy,night
easy,day
easy,day
easy,before,
easy,workout
easy,pretty
easy,hard
easy,bad
easy,workout
easy,know
easy,eh
easy,hard,
easy,guess
easy,moderately
get,depends
get,workout
get,really
get,hard
get,night
get,day
get,day
get,before,
get,workout
get,pretty
get,hard
get,bad
get,workout
get,know
get,eh
get,hard,
get,guess
get,moderately
good,depends
good,workout
good,really
good,hard
good,night
good,day
good,day
good,before,
good,workout
good,pretty
good,hard
good,bad
good,workout
good,know
good,eh
good,hard,
good,guess
good,moderately
night's,depends
night's,workout
night's,really
night's,hard
night's,night
night's,day
night's,day
night's,before,
night's,workout
night's,pretty
night's,hard
night's,bad
night's,workout
night's,know
night's,eh
night's,hard,
night's,guess
night's,moderately
sleep,depends
sleep,workout
sleep,really
sleep,hard
sleep,night
sleep,day
sleep,day
sleep,before,
sleep,workout
sleep,pretty
sleep,hard
sleep,bad
sleep,workout
sleep,know
sleep,eh
sleep,hard,
sleep,guess
sleep,moderately
depends,make
depends,sense
workout,make
workout,sense
really,make
really,sense
hard,make
hard,sense
night,make
night,sense
day,make
day,sense
day,make
day,sense
before,,make
before,,sense
workout,make
workout,sense
pretty,make
pretty,sense
hard,make
