today,great
handled,hardest
handled,decision
handled,ever
handled,make
differently,,tell
differently,,hardest
differently,,decision
differently,,ever
differently,,make
um,,tell
um,,hardest
um,,decision
um,,ever
um,,make
really,tell
really,hardest
really,decision
really,ever
really,make
feel,tell
feel,hardest
feel,decision
feel,ever
feel,make
like,tell
like,hardest
like,decision
like,ever
like,make
discussing,tell
discussing,hardest
discussing,decision
discussing,ever
discussing,make
tell,well
tell,i'm
tell,kind
tell,midst
tell,right
tell,know
tell,whether
tell,want
tell,uh
tell,move
tell,new
tell,york,
tell,stay
tell,la
tell,tough
tell,decision
hardest,well
hardest,i'm
hardest,kind
hardest,midst
hardest,right
hardest,know
hardest,whether
hardest,want
hardest,uh
hardest,move
hardest,new
hardest,york,
hardest,stay
hardest,la
hardest,tough
hardest,decision
decision,well
decision,i'm
decision,kind
decision,midst
decision,right
decision,know
decision,whether
decision,want
decision,uh
decision,move
decision,new
decision,york,
decision,stay
decision,la
decision,tough
decision,decision
ever,well
ever,i'm
ever,kind
ever,midst
ever,right
ever,know
ever,whether
ever,want
ever,uh
ever,move
ever,new
ever,york,
ever,stay
ever,la
ever,tough
ever,decision
make,well
make,i'm
make,kind
make,midst
make,right
make,know
make,whether
make,want
make,uh
make,move
make,new
make,york,
make,stay
make,la
make,tough
make,decision
well,made
well,decide
i'm,made
i'm,decide
kind,made
kind,decide
midst,made
midst,decide
right,made
right,decide
know,made
know,decide
whether,made
whether,decide
want,made
want,decide
uh,made
uh,decide
move,made
move,decide
new,made
new,decide
york,,made
york,,decide
stay,made
stay,decide
la,made
la,decide
tough,made
tough,decide
decision,made
decision,decide
talk,okay
later,okay
okay,easy
okay,get
okay,good
okay,night's
okay,sleep
easy,pretty
easy,easy
get,pretty
get,easy
good,pretty
good,easy
night's,pretty
night's,easy
sleep,pretty
sleep,easy
pretty,like
pretty,sleep
pretty,well
easy,like
easy,sleep
easy,well
like,um,
like,sensitive
like,uh
like,vulnerable,
like,sensitive
like,vulnerable
sleep,um,
sleep,sensitive
sleep,uh
sleep,vulnerable,
sleep,sensitive
sleep,vulnerable
well,um,
well,sensitive
well,uh
well,vulnerable,
well,sensitive
well,vulnerable
um,,feeling
um,,lately
sensitive,feeling
sensitive,lately
uh,feeling
uh,lately
vulnerable,,feeling
vulnerable,,lately
sensitive,feeling
sensitive,lately
vulnerable,feeling
vulnerable,lately
feeling,late
feeling,i've
feeling,feeling
feeling,pretty
feeling,well
feeling,can't
feeling,complain
lately,late
lately,i've
lately,feeling
lately,pretty
lately,well
lately,can't
lately,complain
late,noticed
late,change
late,behavior
late,thought
late,lately
i've,noticed
i've,change
i've,behavior
i've,thought
i've,lately
feeling,noticed
feeling,change
feeling,behavior
feeling,thought
feeling,lately
pretty,noticed
pretty,change
pretty,behavior
pretty,thought
pretty,lately
well,noticed
well,change
well,behavior
well,thought
well,lately
can't,noticed
can't,change
can't,behavior
can't,thought
can't,lately
complain,noticed
complain,change
complain,behavior
complain,thought
complain,lately
noticed,uh
noticed,clear-minded
noticed,thought
change,uh
change,clear-minded
change,thought
behavior,uh
behavior,clear-minded
behavior,thought
thought,uh
thought,clear-minded
thought,thought
lately,uh
lately,clear-minded
lately,thought
uh,ever
uh,diagnosed
uh,ptsd
clear-minded,ever
clear-minded,diagnosed
clear-minded,ptsd
thought,ever
thought,diagnosed
thought,ptsd
tell,last
tell,time
tell,felt
tell,really
tell,really
tell,happy,
tell,uh,
tell,real
tell,nice
tell,date
tell,month
tell,ago,
tell,good
tell,time
tell,real
tell,happy
tell,day
tell,day
last,last
last,time
last,felt
last,really
last,really
last,happy,
last,uh,
last,real
last,nice
last,date
last,month
last,ago,
last,good
last,time
last,real
last,happy
last,day
last,day
time,last
time,time
time,felt
time,really
time,really
time,happy,
time,uh,
time,real
time,nice
time,date
time,month
time,ago,
time,good
time,time
time,real
time,happy
time,day
time,day
felt,last
felt,time
felt,felt
felt,really
felt,really
felt,happy,
felt,uh,
felt,real
felt,nice
felt,date
felt,month
felt,ago,
felt,good
felt,time
felt,real
felt,happy
felt,day
felt,day
really,last
really,time
really,felt
really,really
really,really
really,happy,
really,uh,
really,real
really,nice
really,date
really,month
really,ago,
really,good
really,time
really,real
really,happy
really,day
really,day
happy,last
happy,time
happy,felt
happy,really
happy,really
happy,happy,
happy,uh,
happy,real
happy,nice
happy,date
happy,month
happy,ago,
happy,good
happy,time
happy,real
happy,happy
happy,day
happy,day
last,tell
time,tell
felt,tell
really,tell
really,tell
happy,,tell
uh,,tell
real,tell
nice,tell
date,tell
month,tell
ago,,tell
good,tell
time,tell
real,tell
happy,tell
day,tell
day,tell
tell,uh
tell,well
tell,uh
tell,young
tell,girl
tell,met
tell,couple
tell,year
tell,ago
tell,finally
tell,uh,
tell,available
tell,uh
tell,go
tell,hang
tell,went
tell,wine
tell,wine
tell,bar
tell,went
tell,dinner,
tell,date
tell,great
tell,time
uh,that's
uh,great
well,that's
well,great
uh,that's
uh,great
young,that's
young,great
girl,that's
girl,great
met,that's
met,great
couple,that's
couple,great
year,that's
year,great
ago,that's
ago,great
finally,that's
finally,great
uh,,that's
uh,,great
available,that's
available,great
uh,that's
uh,great
go,that's
go,great
hang,that's
hang,great
went,that's
went,great
wine,that's
wine,great
wine,that's
wine,great
bar,that's
bar,great
went,that's
went,great
dinner,,that's
dinner,,great
date,that's
date,great
great,that's
great,great
time,that's
time,great
that's,thank
great,thank
thank,tell
thank,spend
thank,ideal
thank,weekend
tell,ideal
tell,weekend
tell,well
tell,like
tell,watch
tell,english
tell,league
tell,soccer,
tell,uh
tell,sometimes
tell,i'm
tell,philly
tell,spend
tell,time
tell,family
tell,weekend
tell,not,
tell,i'll
tell,hang
tell,brother
tell,or,
tell,sunday
tell,ref
tell,soccer,
tell,really
tell,laid
tell,back
tell,chill
spend,ideal
spend,weekend
spend,well
spend,like
spend,watch
spend,english
spend,league
spend,soccer,
spend,uh
spend,sometimes
spend,i'm
spend,philly
spend,spend
spend,time
spend,family
spend,weekend
spend,not,
spend,i'll
spend,hang
spend,brother
spend,or,
spend,sunday
spend,ref
spend,soccer,
spend,really
spend,laid
spend,back
spend,chill
ideal,ideal
ideal,weekend
ideal,well
ideal,like
ideal,watch
ideal,english
ideal,league
ideal,soccer,
ideal,uh
ideal,sometimes
ideal,i'm
ideal,philly
ideal,spend
ideal,time
ideal,family
ideal,weekend
ideal,not,
ideal,i'll
ideal,hang
ideal,brother
ideal,or,
ideal,sunday
ideal,ref
ideal,soccer,
ideal,really
ideal,laid
ideal,back
ideal,chill
weekend,ideal
weekend,weekend
weekend,well
weekend,like
weekend,watch
weekend,english
weekend,league
weekend,soccer,
weekend,uh
weekend,sometimes
weekend,i'm
weekend,philly
weekend,spend
weekend,time
weekend,family
weekend,weekend
weekend,not,
weekend,i'll
weekend,hang
weekend,brother
weekend,or,
weekend,sunday
weekend,ref
weekend,soccer,
weekend,really
weekend,laid
weekend,back
weekend,chill
ideal,nice
weekend,nice
well,nice
like,nice
watch,nice
english,nice
league,nice
soccer,,nice
uh,nice
sometimes,nice
i'm,nice
philly,nice
spend,nice
time,nice
family,nice
weekend,nice
not,,nice
i'll,nice
hang,nice
brother,nice
or,,nice
sunday,nice
ref,nice
soccer,,nice
really,nice
laid,nice
back,nice
chill,nice
nice,thank
thank,anything
thank,regret
advice,ten
advice,twenty
advice,year
advice,ago
advice,advice
advice,would
advice,give
advice,would
advice,say
advice,um,
advice,never
advice,give
advice,study
advice,hard,
advice,save
advice,money
would,ten
would,twenty
would,year
would,ago
would,advice
would,would
would,give
would,would
would,say
would,um,
would,never
would,give
would,study
would,hard,
would,save
would,money
give,ten
give,twenty
give,year
give,ago
give,advice
give,would
give,give
give,would
give,say
give,um,
give,never
give,give
give,study
give,hard,
give,save
give,money
ten,ten
ten,twenty
ten,year
ten,ago
ten,advice
ten,would
ten,give
ten,would
ten,say
ten,um,
ten,never
ten,give
ten,study
ten,hard,
ten,save
ten,money
twenty,ten
twenty,twenty
twenty,year
twenty,ago
twenty,advice
twenty,would
twenty,give
twenty,would
twenty,say
twenty,um,
twenty,never
twenty,give
twenty,study
twenty,hard,
twenty,save
twenty,money
year,ten
year,twenty
year,year
year,ago
year,advice
year,would
year,give
year,would
year,say
year,um,
year,never
year,give
year,study
year,hard,
year,save
year,money
ago,ten
ago,twenty
ago,year
ago,ago
ago,advice
ago,would
ago,give
ago,would
ago,say
ago,um,
ago,never
ago,give
ago,study
ago,hard,
ago,save
ago,money
ten,thing
ten,wish
ten,could
ten,change
twenty,thing
twenty,wish
twenty,could
twenty,change
year,thing
year,wish
year,could
year,change
ago,thing
ago,wish
ago,could
ago,change
advice,thing
advice,wish
advice,could
advice,change
would,thing
would,wish
would,could
would,change
give,thing
give,wish
give,could
give,change
would,thing
would,wish
would,could
would,change
say,thing
say,wish
say,could
say,change
um,,thing
um,,wish
um,,could
um,,change
never,thing
never,wish
never,could
never,change
give,thing
give,wish
give,could
give,change
study,thing
study,wish
study,could
study,change
hard,,thing
hard,,wish
hard,,could
hard,,change
save,thing
save,wish
save,could
save,change
money,thing
money,wish
money,could
money,change
thing,maybe
thing,wish
thing,little
thing,outgoing,
thing,little
thing,enthusiastic
wish,maybe
wish,wish
wish,little
wish,outgoing,
wish,little
wish,enthusiastic
could,maybe
could,wish
could,little
could,outgoing,
could,little
could,enthusiastic
change,maybe
change,wish
change,little
change,outgoing,
change,little
change,enthusiastic
maybe,mhm
wish,mhm
little,mhm
outgoing,,mhm
little,mhm
enthusiastic,mhm
mhm,social
mhm,setting
social,tell
social,time
social,someone
social,made
social,feel
social,really
social,badly
setting,tell
setting,time
setting,someone
setting,made
setting,feel
setting,really
setting,badly
tell,really
tell,can't
tell,remember
tell,time
tell,i've
tell,always
tell,felt
tell,really
tell,good
tell,people's,
tell,whatever
tell,people
tell,say
tell,really
tell,change,
tell,feel
time,really
time,can't
time,remember
time,time
time,i've
time,always
time,felt
time,really
time,good
time,people's,
time,whatever
time,people
time,say
time,really
time,change,
time,feel
someone,really
someone,can't
someone,remember
someone,time
someone,i've
someone,always
someone,felt
someone,really
someone,good
someone,people's,
someone,whatever
someone,people
someone,say
someone,really
someone,change,
someone,feel
made,really
made,can't
made,remember
made,time
made,i've
made,always
made,felt
made,really
made,good
made,people's,
made,whatever
made,people
made,say
made,really
made,change,
made,feel
feel,really
feel,can't
feel,remember
feel,time
feel,i've
feel,always
feel,felt
feel,really
feel,good
feel,people's,
feel,whatever
feel,people
feel,say
feel,really
feel,change,
feel,feel
really,really
really,can't
really,remember
really,time
really,i've
really,always
really,felt
really,really
really,good
really,people's,
really,whatever
really,people
really,say
really,really
really,change,
really,feel
badly,really
badly,can't
badly,remember
badly,time
badly,i've
badly,always
badly,felt
badly,really
badly,good
badly,people's,
badly,whatever
badly,people
badly,say
badly,really
badly,change,
badly,feel
really,would
really,best
really,friend
really,describe
can't,would
can't,best
can't,friend
can't,describe
remember,would
remember,best
remember,friend
remember,describe
time,would
time,best
time,friend
time,describe
i've,would
i've,best
i've,friend
i've,describe
always,would
always,best
always,friend
always,describe
felt,would
felt,best
felt,friend
felt,describe
really,would
really,best
really,friend
really,describe
good,would
good,best
good,friend
good,describe
people's,,would
people's,,best
people's,,friend
people's,,describe
whatever,would
whatever,best
whatever,friend
whatever,describe
people,would
people,best
people,friend
people,describe
say,would
say,best
say,friend
say,describe
really,would
really,best
really,friend
really,describe
change,,would
change,,best
change,,friend
change,,describe
feel,would
feel,best
feel,friend
feel,describe
would,would
would,say
would,uh
would,warm,
would,i'm
would,caring
would,loving,
would,genuine,
would,friend
best,would
best,say
best,uh
best,warm,
best,i'm
best,caring
best,loving,
best,genuine,
best,friend
friend,would
friend,say
friend,uh
friend,warm,
friend,i'm
friend,caring
friend,loving,
friend,genuine,
friend,friend
describe,would
describe,say
describe,uh
describe,warm,
describe,i'm
describe,caring
describe,loving,
describe,genuine,
describe,friend
would,who's
would,someone
would,that's
would,positive
would,influence
would,life
say,who's
say,someone
say,that's
say,positive
say,influence
say,life
uh,who's
uh,someone
uh,that's
uh,positive
uh,influence
uh,life
warm,,who's
warm,,someone
warm,,that's
warm,,positive
warm,,influence
warm,,life
i'm,who's
i'm,someone
i'm,that's
i'm,positive
i'm,influence
i'm,life
caring,who's
caring,someone
caring,that's
caring,positive
caring,influence
caring,life
loving,,who's
loving,,someone
loving,,that's
loving,,positive
loving,,influence
loving,,life
genuine,,who's
genuine,,someone
genuine,,that's
genuine,,positive
genuine,,influence
genuine,,life
friend,who's
friend,someone
friend,that's
friend,positive
friend,influence
friend,life
who's,uh
who's,father
someone,uh
someone,father
that's,uh
that's,father
positive,uh
positive,father
influence,uh
influence,father
life,uh
life,father
uh,tell
father,tell
tell,yeah
tell,uh,
tell,he's
tell,he's
tell,man
tell,words,
tell,uh
tell,he's
tell,calm,
tell,slow
tell,anger,
tell,um
tell,warm
tell,loving
tell,man,
tell,responsible,
tell,uh
tell,he's
tell,gentleman
tell,great
tell,sense
tell,style
tell,he's
tell,great
tell,cook
yeah,proud
yeah,life
uh,,proud
uh,,life
he's,proud
he's,life
he's,proud
he's,life
man,proud
man,life
words,,proud
words,,life
uh,proud
uh,life
he's,proud
he's,life
calm,,proud
calm,,life
slow,proud
slow,life
anger,,proud
anger,,life
um,proud
um,life
warm,proud
warm,life
loving,proud
loving,life
man,,proud
man,,life
responsible,,proud
responsible,,life
uh,proud
uh,life
he's,proud
he's,life
gentleman,proud
gentleman,life
great,proud
great,life
sense,proud
sense,life
style,proud
style,life
he's,proud
he's,life
great,proud
great,life
cook,proud
cook,life
proud,proud
proud,uh,
proud,,
proud,series
proud,regular
proud,wire
proud,couple
proud,year
proud,ago
proud,last
proud,season
life,proud
life,uh,
life,,
life,series
life,regular
life,wire
life,couple
life,year
life,ago
life,last
life,season
proud,awesome
uh,,awesome
,,awesome
series,awesome
regular,awesome
wire,awesome
couple,awesome
year,awesome
ago,awesome
last,awesome
season,awesome
awesome,thank
thank,thank
thank,welcome
welcome,welcome
