today,alright
lot,time
lot,argued
lot,someone
better,last
better,time
better,argued
better,someone
child,last
child,time
child,argued
child,someone
*laughter*,last
*laughter*,time
*laughter*,argued
*laughter*,someone
last,oh
last,can't
last,even
last,remember
last,long
last,time
time,oh
time,can't
time,even
time,remember
time,long
time,time
argued,oh
argued,can't
argued,even
argued,remember
argued,long
argued,time
someone,oh
someone,can't
someone,even
someone,remember
someone,long
someone,time
oh,consider
oh,introvert
can't,consider
can't,introvert
even,consider
even,introvert
remember,consider
remember,introvert
long,consider
long,introvert
time,consider
time,introvert
consider,guess
introvert,guess
guess,tell
tell,know
tell,really
know,thing
know,like
know,fun
really,thing
really,like
really,fun
thing,reading's
thing,right
like,reading's
like,right
fun,reading's
fun,right
reading's,last
reading's,time
reading's,happened
right,last
right,time
right,happened
last,waiting
last,appointment
time,waiting
time,appointment
happened,waiting
happened,appointment
waiting,who's
waiting,someone
waiting,that's
waiting,positive
waiting,influence
waiting,life
appointment,who's
appointment,someone
appointment,that's
appointment,positive
appointment,influence
appointment,life
who's,recently
who's,girlfriend's
who's,positive
someone,recently
someone,girlfriend's
someone,positive
that's,recently
that's,girlfriend's
that's,positive
positive,recently
positive,girlfriend's
positive,positive
influence,recently
influence,girlfriend's
influence,positive
life,recently
life,girlfriend's
life,positive
recently,know
girlfriend's,know
positive,know
know,uh
know,met
know,sister-in-law
uh,close
met,close
sister-in-law,close
close,mm
close,close
close,anymore
mm,uncomfortable
mm,talk
close,uncomfortable
close,talk
anymore,uncomfortable
anymore,talk
uncomfortable,i'm
uncomfortable,alright
talk,i'm
talk,alright
i'm,tell
alright,tell
tell,oh
tell,anything
tell,common
tell,'em
tell,talk
oh,would
oh,best
oh,friend
oh,describe
anything,would
anything,best
anything,friend
anything,describe
common,would
common,best
common,friend
common,describe
'em,would
'em,best
'em,friend
'em,describe
talk,would
talk,best
talk,friend
talk,describe
would,know
would,really
best,know
best,really
friend,know
friend,really
describe,know
describe,really
know,would
know,say
know,best
know,quality
really,would
really,say
really,best
really,quality
would,um,
would,i'm
would,patient
would,listen
would,try
would,reliable
say,um,
say,i'm
say,patient
say,listen
say,try
say,reliable
best,um,
best,i'm
best,patient
best,listen
best,try
best,reliable
quality,um,
quality,i'm
quality,patient
quality,listen
quality,try
quality,reliable
um,,tell
um,,something
um,,recently
um,,really
um,,enjoyed
i'm,tell
i'm,something
i'm,recently
i'm,really
i'm,enjoyed
patient,tell
patient,something
patient,recently
patient,really
patient,enjoyed
listen,tell
listen,something
listen,recently
listen,really
listen,enjoyed
try,tell
try,something
try,recently
try,really
try,enjoyed
reliable,tell
reliable,something
reliable,recently
reliable,really
reliable,enjoyed
tell,moved
tell,california
tell,new
tell,york
tell,that's
tell,that's
tell,good
tell,experience
something,moved
something,california
something,new
something,york
something,that's
something,that's
something,good
something,experience
recently,moved
recently,california
recently,new
recently,york
recently,that's
recently,that's
recently,good
recently,experience
really,moved
really,california
really,new
really,york
really,that's
really,that's
really,good
really,experience
enjoyed,moved
enjoyed,california
enjoyed,new
enjoyed,york
enjoyed,that's
enjoyed,that's
enjoyed,good
enjoyed,experience
moved,feel
moved,moment
california,feel
california,moment
new,feel
new,moment
york,feel
york,moment
that's,feel
that's,moment
that's,feel
that's,moment
good,feel
good,moment
experience,feel
experience,moment
feel,nice
feel,exciting
moment,nice
moment,exciting
nice,ever
nice,served
nice,military
exciting,ever
exciting,served
exciting,military
easy,fairly
easy,difficult
get,fairly
get,difficult
good,fairly
good,difficult
night's,fairly
night's,difficult
sleep,fairly
sleep,difficult
wake,triggered
wake,something
easily,triggered
easily,something
sometimes,triggered
sometimes,something
take,triggered
take,something
long,triggered
long,something
time,triggered
time,something
get,triggered
get,something
tired,triggered
tired,something
fall,triggered
fall,something
asleep,triggered
asleep,something
triggered,know
something,know
know,like
know,sleep
know,well
like,quiet
like,try
like,stay
like,'cause
like,get
like,irritable
sleep,quiet
sleep,try
sleep,stay
sleep,'cause
sleep,get
sleep,irritable
well,quiet
well,try
well,stay
well,'cause
well,get
well,irritable
quiet,diagnosed
quiet,depression
try,diagnosed
try,depression
stay,diagnosed
stay,depression
'cause,diagnosed
'cause,depression
get,diagnosed
get,depression
irritable,diagnosed
irritable,depression
feeling,alright
feeling,anxious
feeling,trying
feeling,find
feeling,job
lately,alright
lately,anxious
lately,trying
lately,find
lately,job
alright,noticed
alright,change
alright,behavior
alright,thought
alright,lately
anxious,noticed
anxious,change
anxious,behavior
anxious,thought
anxious,lately
trying,noticed
trying,change
trying,behavior
trying,thought
trying,lately
find,noticed
find,change
find,behavior
find,thought
find,lately
job,noticed
job,change
job,behavior
job,thought
job,lately
noticed,really
noticed,pretty
noticed,pretty
noticed,normal
change,really
change,pretty
change,pretty
change,normal
behavior,really
behavior,pretty
behavior,pretty
behavior,normal
thought,really
thought,pretty
thought,pretty
thought,normal
lately,really
lately,pretty
lately,pretty
lately,normal
really,proud
really,life
pretty,proud
pretty,life
pretty,proud
pretty,life
normal,proud
normal,life
proud,child
life,child
child,tell
child,kid
tell,uh
tell,i've
tell,got
tell,four
tell,'em
tell,um
tell,three
tell,ten
tell,two
tell,eleven
tell,year
tell,old
kid,uh
kid,i've
kid,got
kid,four
kid,'em
kid,um
kid,three
kid,ten
kid,two
kid,eleven
kid,year
kid,old
uh,wow
i've,wow
got,wow
four,wow
'em,wow
um,wow
three,wow
ten,wow
two,wow
eleven,wow
year,wow
old,wow
wow,yeah
yeah,what's
yeah,best
yeah,thing
yeah,parent
what's,that's
what's,that's
what's,hard
what's,know
what's,thing
what's,yeah
what's,lot
what's,fun
what's,watching
what's,'em
what's,grow
what's,grow
best,that's
best,that's
best,hard
best,know
best,thing
best,yeah
best,lot
best,fun
best,watching
best,'em
best,grow
best,grow
thing,that's
thing,that's
thing,hard
thing,know
thing,thing
thing,yeah
thing,lot
thing,fun
thing,watching
thing,'em
thing,grow
thing,grow
parent,that's
parent,that's
parent,hard
parent,know
parent,thing
parent,yeah
parent,lot
parent,fun
parent,watching
parent,'em
parent,grow
parent,grow
that's,give
that's,example
that's,give
that's,example
hard,give
hard,example
know,give
know,example
thing,give
thing,example
yeah,give
yeah,example
lot,give
lot,example
fun,give
fun,example
watching,give
watching,example
'em,give
'em,example
grow,give
grow,example
grow,give
grow,example
give,way
give,interact
give,sometimes
give,it's,
give,people
give,really
give,amazing
give,see
give,fast
give,know
give,develop
example,way
example,interact
example,sometimes
example,it's,
example,people
example,really
example,amazing
example,see
example,fast
example,know
example,develop
way,what's
way,one
way,memorable
way,experience
interact,what's
interact,one
interact,memorable
interact,experience
sometimes,what's
sometimes,one
sometimes,memorable
sometimes,experience
it's,,what's
it's,,one
it's,,memorable
it's,,experience
people,what's
people,one
people,memorable
people,experience
really,what's
really,one
really,memorable
really,experience
amazing,what's
amazing,one
amazing,memorable
amazing,experience
see,what's
see,one
see,memorable
see,experience
fast,what's
fast,one
fast,memorable
fast,experience
know,what's
know,one
know,memorable
know,experience
develop,what's
develop,one
develop,memorable
develop,experience
what's,know
what's,there's
what's,there's
what's,lot
what's,tied
what's,probably
what's,memorable
one,know
one,there's
one,there's
one,lot
one,tied
one,probably
one,memorable
memorable,know
memorable,there's
memorable,there's
memorable,lot
memorable,tied
memorable,probably
memorable,memorable
experience,know
experience,there's
experience,there's
experience,lot
experience,tied
experience,probably
experience,memorable
know,i'd
know,love
know,hear
there's,i'd
there's,love
there's,hear
there's,i'd
there's,love
there's,hear
lot,i'd
lot,love
lot,hear
tied,i'd
tied,love
tied,hear
probably,i'd
probably,love
probably,hear
memorable,i'd
memorable,love
memorable,hear
i'd,probably
love,probably
hear,probably
probably,find
probably,easy
probably,parent
find,yeah
find,pretty
find,easy
find,lot
find,fun
easy,yeah
easy,pretty
easy,easy
easy,lot
easy,fun
parent,yeah
parent,pretty
parent,easy
parent,lot
parent,fun
yeah,what's
yeah,hardest
yeah,thing
yeah,parent
pretty,what's
pretty,hardest
pretty,thing
pretty,parent
easy,what's
easy,hardest
easy,thing
easy,parent
lot,what's
lot,hardest
lot,thing
lot,parent
fun,what's
fun,hardest
fun,thing
fun,parent
what's,worrying
what's,'em
what's,know
what's,worry
what's,'em
what's,getting
what's,hurt
hardest,worrying
hardest,'em
hardest,know
hardest,worry
hardest,'em
hardest,getting
hardest,hurt
thing,worrying
thing,'em
thing,know
thing,worry
thing,'em
thing,getting
thing,hurt
parent,worrying
parent,'em
parent,know
parent,worry
parent,'em
parent,getting
parent,hurt
worrying,anything
worrying,regret
'em,anything
'em,regret
know,anything
know,regret
worry,anything
worry,regret
'em,anything
'em,regret
getting,anything
getting,regret
hurt,anything
hurt,regret
anything,much
regret,much
much,advice
much,would
much,give
much,ten
much,twenty
much,year
much,ago
advice,probably
advice,go
advice,college
advice,get
advice,know
advice,try
advice,find
advice,good
advice,better
advice,job
advice,know
would,probably
would,go
would,college
would,get
would,know
would,try
would,find
would,good
would,better
would,job
would,know
give,probably
give,go
give,college
give,get
give,know
give,try
give,find
give,good
give,better
give,job
give,know
ten,probably
ten,go
ten,college
ten,get
ten,know
ten,try
ten,find
ten,good
ten,better
ten,job
ten,know
twenty,probably
twenty,go
twenty,college
twenty,get
twenty,know
twenty,try
twenty,find
twenty,good
twenty,better
twenty,job
twenty,know
year,probably
year,go
year,college
year,get
year,know
year,try
year,find
year,good
year,better
year,job
year,know
ago,probably
ago,go
ago,college
ago,get
ago,know
ago,try
ago,find
ago,good
ago,better
ago,job
ago,know
probably,last
probably,time
probably,felt
probably,really
probably,happy
go,last
go,time
go,felt
go,really
go,happy
college,last
college,time
college,felt
college,really
college,happy
get,last
get,time
get,felt
get,really
get,happy
know,last
know,time
know,felt
know,really
know,happy
try,last
try,time
try,felt
try,really
try,happy
find,last
find,time
find,felt
find,really
find,happy
good,last
good,time
good,felt
good,really
good,happy
better,last
better,time
better,felt
better,really
better,happy
job,last
job,time
job,felt
job,really
job,happy
know,last
know,time
know,felt
know,really
know,happy
